,Country,Date,Buyer,Seller,Location,Property type,Property type 2 (use drop-down menu),Main use (if Mixed use),Use (if Development/Building rights),Comment (if Redevelopment),Comment (if Other),"Price, MDKK","Area, m2","Price, DKK/m2",Comments,Comments from meeting,BRE received,BRE reviewed,BRE bid,Broker,Source,,,,,,
,Denmark,2025-12-17,The Roots Dairy Company,Gundersen family ,Funen,"Industrial, Commercial",,,,,,109,-,-,"British-owned The Roots Dairy Company acquired the Dorthealund agricultural estate on Funen as part of its Nordic expansion strategy. The buyer plans to convert the large-scale dairy operation to regenerative organic farming, with further Danish acquisitions planned.",,,,,,Britons invest three-digit million in Funen agriculture and have the courage to do more,,,,,,
,Denmark,2025-12-16,Jansen Ejendomme A/S,K/S Roskildevej,Glostrup,Retail,,,,,,103,"5,504","18,623",Jansen Ejendomme acquired a fully let retail property serving as HTH’s Greater Copenhagen headquarters in a long-term leased sale. The acquisition strengthens the buyer’s Zealand exposure with a stable tenant in an established retail cluster.,,,,,,https://ejendomswatch.dk/Ejendomsnyt/Investorer/article18847196.ece,,,,,,
,Denmark,2025-12-10,Core Property ,Europa Capital ,Copenhagen,Residential,,,,,,-,"3,129",-,"First acquisition for Core Bolig XII; 39 units; 1 commercial space. Sold for a three-digit million amount, which is ""closer to 200 million DKK than 100 million DKK""",,,,,,Core Property buys part of residential property on Amager,,,,,,
,Denmark,2025-12-11,Vaultica ,Stack Infrastructure,Copenhagen,Data center,,,,,,-,"2,722",-,"New European data center platform established by Apollo; sites also in Milan, Geneva, Stockholm, Oslo",,,,,,New data center player gains a foothold in Copenhagen,,,,,,
,Denmark,2025-12-09,Crescendo,Koncenton ,Copenhagen,Residential,,,,,,160,-,-,10-year hold; exit part of Koncenton strategy; strong investor return,55/65k psm in comps,,,,,Koncenton completes three-digit million dollar deal with competitor,,,,,,
,Denmark,2025-12-04,Enghave Brygge Byggefelt,By & Havn,Copenhagen,Land,,,,,,288,-,-,Land plot in Kalvebod Syd; acquired for future building rights. Public valuation 29.1m. (Area derived from Resights m²/price),,,,,,https://ejendomswatch.dk/Ejendomsnyt/Investorer/article18808038.ece,,,,,,
,Denmark,2025-12-04,JEUDAN A/S,PFA DK Properties Lav A/S,Copenhagen,Mixed use,,,,,,104,"2,026","51,091",Built 1794; includes basement & attic (731 m² additional). Energy label B. Premium CBD location.,,,,,,https://ejendomswatch.dk/Ejendomsnyt/Investorer/article18808038.ece,,,,,,
,Denmark,2025-12-04,JEUDAN A/S,PFA DK Properties Lav A/S,Copenhagen,Office,,,,,,716,"12,765","56,129","Built 1997, 6 floors + attic & basement. Located in Østerbro waterfront district. Energy label A2010.",,,,,,https://ejendomswatch.dk/Ejendomsnyt/Investorer/article18808038.ece,,,,,,
,Denmark,2025-12-03,Danica Ejendomme,Urban Partners,Copenhagen,Office,,,,,,440,"8,220","53,528",Nordport office building at Corkgade 1. Completed 2024. First Woods concept disposal by Urban Partners.,,,,,,Urban Partners sells office to Danica for over 400 million,,,,,,
,Denmark,2025-12-02,Zinck Capital ,Viga Real Estate,Copenhagen,Residential,,,,,,106,"2,354","45,030",Bispevej 1. Acquisition as part of generational transition. Future condo sales.,,,,,,Vejle family buys Copenhagen property in a three-digit million deal,,,,,,
,Denmark,2025-12-02,Evervest + Grosvenor + DFI,Selmer Group,Various,Residential,,,,,,-,"19,400",-,First Danish investment for Grosvenor. Selmer selling off 4.5bn DKK residential portfolio.,,,,,,Jysk developer sells homes for just under half a billion,,,,,,
,Denmark,2025-12-01,Live Nation,City of Copenhagen + Realdania,Copenhagen,"Industrial, Commercial",,,,,,-,-,-,Confidential price; Royal Arena listed at DKK 1.2bn. Public tender via Colliers & Horten. Transfer expected H2 2026.,,,,,,Billion-dollar deal sends Royal Arena into new hands,,,,,,
,Denmark,2025-11-26,Niam,Birch Ejendomme,Gårslev & Middelfart,Residential,,,,,,375,"16,114","23,272","Niam purchases 181 fully leased newly-built townhouses across two sites. DGNB Platinum (Gårslev) & Gold (Middelfart). Part of the Nordhusene portfolio (now 2,600 homes). The price is between 350 and 400 million DKK.",,,,,,Niam buys 181 newly built homes from Jutland developer,,,,,,
,Denmark,2025-11-25,PFD Ejendomsselskab,Danica Ejendomme / CØ,Copenhagen,"Industrial, Commercial",,,,,,90,-,-,Buyers acquire ~40% of ground-floor retail area (2 of 5 business halls). Private consortium to activate new concepts aligned with Papirøen’s broader vision. The registered purchase amount including VAT thus amounts to DKK 111.5 million.,,,,,,Wealthy duo buys up Copenhagen prestige project with Danica as seller,,,,,,
,Denmark,2025-11-25,LSV 27 ApS,-,Hellerup,Residential,,,,,,153,938,"163,326","Prestige villa property (built 1902) on 2,968 m² plot. Large premium vs. public valuation of DKK 80M.",,,,,,https://ejendomswatch.dk/Ejendomsnyt/Investorer/article18776327.ece,,,,,,
,Denmark,2025-11-21,Jeudan,PFA Pension,Copenhagen,Office,,,,,,820,"17,200","47,674",Jeudan acquires three assets: two offices (Dampfærgevej 26 & 28) + mixed-use building at Dronningens Tværgade. Expands its Copenhagen footprint; closing 1 Dec 2025.,,,,,,Jeudan deal is the largest office transaction of the year so far,,,,,,
,Denmark,2025-11-19,Ole Klitgård Friis ,Knud Jørgensen,Frederiksberg,Residential,,,,,,-,"2,132",-,A Jutland investor acquires an 8-year-old 53-room dormitory opposite the University of Copenhagen Faculty of Science for over DKK 80 million. Fully leased to Housing Foundation Copenhagen; strong demand and high liquidity in Frederiksberg student housing.,,,,,,Jysk investor buys Copenhagen dormitory,,,,,,
,Denmark,2025-11-19,AKA (via DK Handelsinvest),Lidl Denmark,"Aalborg, Kokkedal & Herning",Retail,,,,,,-,-,-,"AKA acquires three newly built or soon-to-be-completed Lidl stores in Aalborg, Kokkedal and Herning. All properties have 15-year leases. Strengthens AKA’s fast-growing Danish grocery portfolio across several strong retail locations.",,,,,,Exploitative Norwegian billion-dollar investor takes over several Danish properties,,,,,,
,Denmark,2025-11-13,Novo Nordisk,Høje Taastrup C,Høje Taastrup,"Industrial, Commercial",,,,,,115,"19,342","5,946","Novo Nordisk acquires 533 parking spaces (19,342 m²) in a 902-space parking garage in Høje Taastrup for DKK 115 million. The acquisition supports the company’s new 62,000 m² office headquarters and upcoming expansion to 3,500 employees in the area.",,,,,,Novo Nordisk behind acquisition worth DKK 115 million in Høje Taastrup,,,,,,
,Denmark,2025-11-12,Atlas Properties A/S,MOKER Properties ApS,Copenhagen (K City),Office,,,,,,132,"2,239","58,821","Atlas Properties acquires the 2,239 m² mixed commercial building at Skindergade 5 for DKK 131.7m. The 1901-built property includes 11 commercial units across two buildings and additional attic & basement areas.",,,,,,"Skindergade 5, 1159 Copenhagen K",,,,,,
,Denmark,2025-11-07,Stoneweg Group,Undisclosed,Hørning,Industrial,,,,,,-,"16,300",-,"Stoneweg acquires a 16,300 m² modern logistics property in Hørning as part of its DKK 1.5bn Nordic logistics mandate with Pensam. The 2022-built asset features strong sustainability specs, long-term leases, and expansion rights.",,,,,,Logistics property near Aarhus comes into Swiss hands,,,,,,
,Denmark,2025-11-07,Akademiker Pension,Arbejdsmarkedets Tillægspension (ATP),Copenhagen,Office,,,,,,315,"15,767","19,978","Academic Pension acquires the 15,767 m² office/industrial property Teglholmsgade 41 in Copenhagen for DKK 315 million. The six-storey property includes attic and basement areas and is used primarily for office and commercial space.",,,,,,https://ejendomswatch.dk/Ejendomsnyt/Investorer/article18727810.ece,,,,,,
,Denmark,2025-11-06,Slättö,Blue Water,Greve,Industrial,,,,,,96,"7,032","13,652","Swedish investor Slättö acquires two logistics properties from Blue Water in Greve (near Copenhagen) and Odense for approximately DKK 136 million. The sale-and-leaseback deal includes 14,000 m² of land in Greve for a planned 9,000 m² expansion. Greve transaction produced a yield of 5.6%.",0.05625,,,,,From hotel to logistics: Expanding Danish footprint with triple-digit million purchase,,,,,,
,Denmark,2025-11-06,Slättö,Blue Water,Odense,Industrial,,,,,,40,"4,814","8,309",Swedish investor Slättö acquires two logistics properties from Blue Water in Greve (near Copenhagen) and Odense for approximately DKK 136 million. Odense transaction produced a yield of 9.25%.,0.0925,,,,,From hotel to logistics: Expanding Danish footprint with triple-digit million purchase,,,,,,
,Denmark,2025-11-05,Kirk & Thorsen (Casper Kirk Johansen & Peter Thorsen),Tasfo Selskaberne,Vejle,Mixed use,,Commercial,,,,77,"4,800","15,938","Business duo Casper Kirk Johansen and Peter Thorsen acquire a 4,800 m² mixed-use property in central Vejle from Tasfo Selskaberne for DKK 76.5 million. The property includes four commercial units and 30 rental apartments and has been fully leased since completion.",,,,,,"Sale to prominent business duo is a sign of ""a little more light ahead""",,,,,,
,Denmark,2025-11-04,Lærernes Pension,AP Ejendomme,Aarhus,Residential,,,,,,940,-,-,"Lærernes Pension acquires 339 residential units in Risskov Brynet, Aarhus, from AP Ejendomme for nearly DKK 1 billion. The fully leased properties, built in 2017 and 2019, expand the pension fund’s housing portfolio and align with its long-term investment strategy.",,,,,,Pension investor throws away almost DKK 1 billion after more than 300 homes,,,,,,
,Denmark,2025-11-04,FAI Ejendomme,Copi,Copenhagen,Office,,,,,,-,"2,000",-,"FAI Ejendomme purchases the historic property Kronprinsensgade 7 in central Copenhagen from Copi. The 2,000 m² partially listed building includes retail and office space and was restored in collaboration with Danish heritage authorities. The asset was valued around DKK 116 million in 2024.",,,,,,"""A treasure chest"": Funen family buys prominent Copenhagen property",,,,,,
,Denmark,2025-10-29,Storebrand,PBU (Danish Teachers’ Pension),Multiple,Residential,,,,,,675,"38,193","17,673","Storebrand acquired seven residential properties across Denmark (approx. 440 units, 38,193 m²) from PBU for DKK 675M. Major assets in Copenhagen and Horsens. Storebrand expands Nordic portfolio. ",,,,,,"Selling homes for just under 700 million as ""part of a strategy shift""",,,,,,
,Denmark,2025-10-28,Fire Point,Vision Estate,Skrydstrup,Industrial,,,,,,128,"28,775","4,431","Fire Point, a Ukrainian defense firm, acquired 28,775 m² property near Skrydstrup Air Base from Vision Estate for DKK 127.5M. Will host rocket fuel production. Sale aligns with Denmark–Ukraine defense cooperation framework.",,,,,,Ukrainian arms manufacturer takes over property from Jutland business families,,,,,,
,Denmark,2025-09-25,Private buyer,The estate of Hanne Darlie Lindén,Vedbæk,Residential,,,,,,110,665,"165,414","Private buyer purchased Hveensvej 5 in Vedbæk from the estate of Hanne Darlie Lindén for DKK 110M. Built 1908, 665 m² house on 4,138 m² land. High-end transaction in North Zealand.",,,,,,"Hveensvej 5, 2950 Vedbæk",,,,,,
,Denmark,2025-10-22,Stensdal Group,Lejerbo Holbæk,Holbæk,Residential,,,,,,-,"7,200",-,"Stensdal Group acquired three public housing blocks (96 apartments) from Lejerbo Holbæk in Grønneparken, Holbæk. Includes plans to convert Block H (68 apts) into 7,000 m² care home and later build 50 townhouses (5,000 m²) plus penthouses (2,000 m²). Completion expected H2 2026.",,,,,,"Stensdal buys up district with ""hard-tested reputation""",,,,,,
,Denmark,2025-10-22,Thybo Ejendomsudvikling & Koncenton,-,Haslev,Residential,,,,,,-,-,-,"Thybo Ejendomsudvikling and Koncenton continue partnership with new 80-unit senior housing project in Haslev. Homes 68–91 m². Construction by Thybo Huse, building permit granted Sept 2025. First homes ready Autumn 2026.",,,,,,Aarhus developer sells housing project to Koncenton,,,,,,
,Denmark,2025-10-22,Casa Nord,Roskilde Municipality,Roskilde,Development,,,,,,-,-,-,"Casa Nord acquired land for the Parkhus project at former Sankt Hans psychiatric hospital in Roskilde. Plans include 48 townhouses/apartments (61–165 m²). Located on Bistrup Allé, developed through municipal tender. Project preserves ~80% of existing buildings. Underground parking included.",,,,,,Businessman builds housing at psychiatric hospital,,,,,,
,Denmark,2025-10-20,Jeudan,Danmarks Skibskredit,Copenhagen,Office,,,,,,140,"2,500","56,000","Jeudan completed acquisition of Sankt Annæ Plads 3 in central Copenhagen from Danmarks Skibskredit for DKK 140M. Agreement originated in 2020, activated after tenant move-out (Oct 2025). Jeudan to renovate before leasing. Property: 7 units / 2,500 m².",,,,,,Jeudan buys Copenhagen office for three-digit million,,,,,,
,Denmark,2025-10-20,Barings,Jensen & Nielsen Gruppen A/S,Storkøbenhavn,Development,,,,,,"1,120","30,000","37,333","Barings Real Estate, on behalf of a U.S. insurance company, acquired Smedeland 28 project from Jensen & Nielsen Gruppen A/S for €150M. Includes 380 homes (27,000 m²), 9 retail units (3,000 m²), and 270 parking spaces. Located in Hersted, Greater Copenhagen.",,,,,,Barings köper projekt om 30.000 kvm bostäder,,,,,,
,Denmark,2025-10-14,Lars Larsen Group,Henning Mortensen Ejendomme,Silkeborg (Erhvervspark Silkeborg),Land,,,Development land acquisition - future HQ site,,,14,"6,000","2,375","Lars Larsen Group purchased a 6,000 m² plot in Erhvervspark Silkeborg for DKK 14.25 million from Henning Mortensen Ejendomme. The land is near the company’s current HQ. Plans for a new headquarters are in early stages. The seller previously sought to develop a 7,000 m² office project in 2022 but sold due to financing challenges. Lars Larsen Group also recently bought a nearby 21,000 m² site for DKK 41 million for future development.",,,,,,Lars Larsen Group after land acquisition: Plans for new headquarters,,,,,,
,Denmark,2025-10-13,CFP Ejendomme (Kvistgård Søpark ApS),Thomas Carlsen,"Kvistgård, North Zealand (south of Helsingør)",Residential,,,,,,100,"28,000","3,571","CFP Ejendomme acquired 25 newly built townhouses in Kvistgård from investor Thomas Carlsen for approx. DKK 100 million. Part of a 55-home project on a 40,000 m² site. CFP, led by Jesper & Thomas Favre-Bulle Malling, owns additional residential and logistics assets across Denmark.",,,,,,North Zealand townhouses sold for 100 million DKK.,,,,,,
,Denmark,2025-10-10,Peter Andersen / Scandinavian Hospitality Group,Stubkjær Family,Ringkøbing (West Jutland),Hotel,,,,,,-,-,-,"Hotel Fjordgaarden, a 98-room spa hotel by Ringkøbing Fjord, sold by the Stubkjær family to Peter Andersen, who founded Scandinavian Hospitality Group. The family owned the hotel for 20 years. Bought in 2007 for DKK 30m; last valuation DKK 61m. The hotel recently completed major renovations.",,,,,,Family sells spa hotel,,,,,,
,Denmark,2025-10-10,Municipality of Copenhagen,Trade Union Federation,Copenhagen N (Mimersgade 39),Healthcare,,,,,,320,"11,477","27,882","Municipality of Copenhagen acquired Mimersgade 39, an 11,477 m² healthcare property built in 1992, for DKK 320 million from the Trade Union Federation. The building houses health clinics, maternity and doctor’s offices. Public valuation DKK 121m. Purchase aligns with the city’s investment in public service facilities.",,,,,,"Mimersgade 39, 2200 Copenhagen N",,,,,,
,Denmark,2025-10-10,Copi A/S,Det Frie Gymnasium,Copenhagen,Residential,,,,Education → Youth Housing,,-,"3,400",-,"Copi acquired the Møllegade 26 high school property (3,400 m²) in Nørrebro, Copenhagen from Det Frie Gymnasium, which plans to relocate in 2027. The building will be converted into youth housing after the tenant vacates. Transfer occurs Jan 2026. The deal is worth ""three-digit million"".",,,,,,Copi buys unique high school property in a three-digit million deal,,,,,,
,Denmark,2025-10-10,Municipality of Copenhagen,Cooperative housing associations (under establishment),Copenhagen,Residential,,,,,,5,-,-,"Copenhagen Municipality allocated DKK 5 million to purchase units in newly forming cooperative housing associations, supporting tenants’ right-of-first-refusal acquisitions. The pilot begins with an association in Vanløse. The municipality will temporarily own and later resell the units. Initiative led by Line Barfod (EL), Mayor for Technology & Environment.",,,,,,Municipal buyout to help new housing associations in Copenhagen,,,,,,
,Denmark,2025-10-10,Swiss Life Asset Managers,AG Gruppen,Copenhagen,Residential,,,,,,-,"4,700",-,"AG Gruppen sold a 94-apartment (4,700 m²) aparthotel project on Amager, Copenhagen to Swiss Life Asset Managers. Tenant and operator: Movinn, under a long-term lease. Project expected to open mid-2027. Annual revenue est. DKK 20–25 million. Swiss Life expands its Danish portfolio after opening a Copenhagen office in 2023.",,,,,,AG Gruppen sells Copenhagen project to Swiss,,,,,,
,Denmark,2025-10-07,Copenhagen Capital Management (Purlund family),Copi A/S,Copenhagen,Mixed use,,Housing & retail,,,,-,"1,000",-,"Copi A/S sold the historic mixed-use property at Vandkunsten 6, central Copenhagen, to Copenhagen Capital Management, owned by the Purlund family. The 1881-built, ~1,000 m² building includes nine apartments and two commercial units, including Sørens Værtshus. The asset was renovated and valued at ~DKK 60 million before sale. Accura advised the seller, Schjødt advised the buyer, and Colliers brokered the deal.",,,,,,Copi sells historic tavern property to family business,,,,,,
,Denmark,2025-10-07,MM Properties,Frederiksberg Municipality,Frederiksberg,Residential,,,Redevelopment for rental housing,,,112,"4,400","25,455","MM Properties acquired the former municipal nursing home property at Kirstinedalsvej 11–13, Frederiksberg from Frederiksberg Municipality for just over DKK 112 million. The 4,400 m², six-story building previously housed King Frederik IX’s Home and most recently Ukrainian refugees. The buyer plans a full renovation and conversion into modern rental housing. Colliers acted as broker.",,,,,,Business people spend three-digit million for Copenhagen property,,,,,,
,Denmark,2025-10-06,Bygningsstyrelsen,PFA DK Ejendomme Lav A/S,Aarhus,Office,,,,,,138,"5,440","25,368","Bygningsstyrelsen acquired a modern office property at Olof Palmes Allé 18G, Aarhus N from PFA DK Ejendomme Lav A/S for DKK 138 million. The 5,440 m² property, built in 2018 with three floors and a basement, sits on an 11,879 m² plot. The building is used for offices and features modern construction with concrete elements and energy-efficient systems.",,,,,,"Olof Palmes Allé 18G, 8200 Aarhus N",,,,,,
,Denmark,2025-10-03,DK Retail Invest A/S,A-Ejd2 ApS,Farsø,Retail,,,,,,150,"1,230","121,951","DK Retail Ejendom 1 ApS, owned by DK Retail Invest A/S, acquired a retail property at Holmevej 3, Farsø for DKK 150 million from A-Ejd2 ApS. The 1,230 m² single-storey property was built in 2021 and holds energy rating A2015. The building sits on a 5,277 m² plot and is used for retail/commercial purposes.",,,,,,"Holmevej 3, 9640 Farsø ",,,,,,
,Denmark,2025-10-03,Private investors,Tryg Forsikring A/S,Aarhus,Mixed use,,Retail & housing,,,,201,"6,000","33,500","A four-member investor group led by Torben Nielsen (TN Udvikling) acquired the mixed-use property at Banegårdspladsen 6–10, opposite Aarhus Central Station, from Tryg Forsikring for DKK 201 million. The 6,000 m² building includes retail (Burger King), offices, and apartments. Buyer plans to develop the unused attic to increase rental income. Poul Schmith advised buyers; Bruun & Hjejle and CBRE advised seller.",,,,,,"Quartet buys city property in Aarhus for over 200 million: ""We are always on the hunt""",,,,,,
,Denmark,2025-10-03,Next Uddannelse Copenhagen,Finansiel Stabilitet,Glostrup,Public Use,,,,,,-,"94,000",-,"Next Education Copenhagen acquired the former Kopenhagen Fur headquarters in Glostrup from Finansiel Stabilitet for over DKK 500–630 million. The 94,000 m² complex will be converted into a large education campus, consolidating programs from 13 other sites. Sale followed an open tender; property to be redeveloped and occupied by summer 2026.",,,,,,"New owner of abandoned mink headquarters: Purchase is a ""100-year event""",,,,,,
,Denmark,10/2/2025,Heartland A/S,Aarhus Universitet,Aarhus,Office,Commercial,,,,,466,"17,383","26,808","Heartland A/Sacquires 8-storey office/industrial unit at Inge Lehmanns Gade 10, 3rd floor, from Aarhus Universitet for DKK 465 million. The public valuation is DKK 263 million (land value DKK 54.3 million). 8-floor modern property used for office and retail purposes.",,,,,,"Inge Lehmanns Gade 10, 3., 8000 Aarhus C",,,,,,
,Denmark,10/2/2025,Heartland A/S,INCUBA A/S,Aarhus,Office,Commercial,,,,,284,"11,621","24,439","Heartland A/S acquires 8-storey office/industrial unit at Inge Lehmanns Gade 10, 6th floor, from INCUBA A/S for DKK 284 million. The public valuation is DKK 172 million (land value DKK 32.2 million). Located in central Aarhus innovation district with modern office use.",,,,,,"Inge Lehmanns Gade 10, 6th, 8000 Aarhus C",,,,,,
,Denmark,10/1/2025,DK Retail Invest,Rema 1000,Multiple,Retail,,,,,,270,"11,000","24,545","DK Retail Invest acquires 9 Rema 1000 stores (11,000 m² total) across Denmark for 422 mNOK. Strengthens Aka’s Danish portfolio; all stores let to Rema 1000 under long leases.",,,,,,Three-digit million sales: Nine Rema 1000 stores get new owners,,,,,,
,Denmark,10/1/2025,Next Uddannelse Copenhagen,Finansiel Stabilitet,Glostrup,Public use,,,,,,-,"94,000",-,"Next Uddannelse Copenhagen acquires former Kopenhagen Fur HQ in Glostrup (94,000 m²). To be repurposed into vocational/continuing education center for ~2,000 students by 2026. Asking price was 630 mDKK, final price undisclosed.",,,,,,"Sale of former mink headquarters pleases state-owned seller: ""A milestone""",,,,,,
NEW,Denmark,2025-09-25,Goldman Sachs (majority) & Thylander ,AP Pension,Multiple,Residential,,,,,,-,"134,400",-,"AP Pension sells majority of its Bostad residential portfolio (61 properties, ~1,500 homes) to Goldman Sachs & Thylander.. Goldman Sachs majority owner; Thylander retains management responsibility and co-ownership.",,,,,,"Thylander CEO on billion-dollar acquisitions: ""A really nice and clean portfolio""",,,,,,
,Denmark,2025-09-16,Prisma Properties,Municipality of Aarhus,Aarhus,Land,,,,,,-,"6,500",-,"Prisma acquires municipal land in Skejby (Aarhus) to develop a ~6,500 m² shopping center. Fully leased to Jysk, Lager 157, Sport 24 and a restaurant chain. Construction starts Q4 2025; opening expected Q3 2026. Estimated annual rent ~10 mDKK (~15 mSEK).",,,,,,Aggressive Swedish investor builds shopping center near Aarhus,,,,,,
,Denmark,2025-09-15,Kinnerton Capital,Bankruptcy estate of Byggeselskabet Jyllinge (TSG Group),Jyllinge,Residential,,,,,,133,-,-,Kinnerton Capital acquires 50 fully let townhouses in Jyllinge for 133 mDKK from the bankruptcy estate of TSG Group subsidiary. Transaction stems from defaulted loan; Kinnerton emphasizes it is not a long-term owner.,,,,,,Creditor with a three-digit million dollar amount in a pinch takes over 50 townhouses from bankruptcy estate,,,,,,
,Denmark,2025-09-10,Vendia Ejendomme,Agat Ejendomme & Lauritzen Group (JV),Aalborg (Østre Havn),Land,Development,Mixed use,"Building rights (~29,000 m²)",,,-,"22,000",-,"Vendia Ejendomme acquires remaining ~22,000 m² plots with ~29,000 m² building rights at Østre Havn, Aalborg, from Agat Ejendomme & Lauritzen JV. Transaction is off-market; no price disclosed. New master plan by C.F. Møller Architects will guide further development.",,,,,,Duo sells North Jutland port area to family-owned investor,,,,,,
,Denmark,2025-09-08,The Nature Agency,Jesper Bjerregaard,Aabybro,Land,,,,,,172,"437,910",394,"The Nature Agency acquires 437,910 m² land plot with three small buildings in Aabybro for 172 mDKK. Transaction reflects long-term public land use strategy.",,,,,,Vestre Helledivej 82,,,,,,
,Denmark,2025-09-08,GS46 ApS ,Danish Journalists’ Association,Copenhagen ,"Industrial, Commercial",,,,,,60,855,"70,202","The industrial property is located at Gammel Strand 46, 1202 Copenhagen K and consists of one building of 855 m² divided into one residential unit and six commercial units. The building, which was built in 1795, was last renovated in 1962 and is located on a 390 m² plot.",,,,,,Gammel Strand 46,,,,,,
,Denmark,2025-09-03,Kurt Brusgåard Poulsen,Core Property,Svendborg,Residential ,,,,,,153.8,-,-,"The Funen businessman Kurt Brusgård Poulsen, together with his family, has invested DKK 153.8 million in 119 terraced houses built in 1987 near Svendborg.",,,,,,Funen rich man buys homes for three-digit million,,,,,,
,Denmark,2025-08-28,Thylander,ND Invest,Ballerup,Residential,,,,,,100,"2,786","35,894","Thylander acquires a residential asset in Greater Copenhagen with 33 apartments. The property is 6 years old, located in a newly developed neighbourhood. The book value of the property was DKK 95.4M Q1 2024. Rumoured yield of 4%",,,,,Colliers,Thylander buys Greater Copenhagen housing complex from business people,,,,,,
,Denmark,2025-08-27,Crescendo,Koncenton,Copenhagen,Residential,,,,,,123,"2,690","45,725",Residential property on Tranevej in Copenhagen. The property was built in 2017. Yiled of 3.57%,,,,,Colliers,Crescendo boss welcomes new residential property – but is otherwise silent,,,,,,
,Denmark,2025-08-25,Northern Horizon,AP Ejendomme,Horsens,Public use,,,,,,479,"17,420","27,500","A portfolio of newly produced elderly care homes. The portfolio includes 182 care beds across three private care homes in Nyborg, Norager and Horsens, all operated by Danske Diakonhjem",,,,,,Northern Horizon reinforces its market leadership in social infrastructure in Denmark with the acquisition of a portfolio of new aged care homes - Northern Horizon,,,,,,
,Denmark,2025-08-22,"NREP, AG Gruppen",NPV,Hvidovre,Residential,,,,,,200,"33,000","6,061","The developer NPV is selling parts of a project in Fuglekvarteret in Hvidovre, that will result in 33,000 sqm or 400 homes. The buyer is a JV between NREP and AG Gruppen",,,,,Colliers,Urban Partners and AG Gruppen join forces on 410 homes,,,,,,
