,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timing,,Project Information,,,,,,,,,,,Property Information,,,,,,,Broker Guidence,,,Description,Actual Price,,
,2018-04-01,,Svanholmen 1,,Micasa Fastigheter,Svefa,Sweden,Stockholm,,,,,Residential,"16,925","1,279",,,,,,,,Leasehold,,,,1
,2018-04-03,,Projekt Galleria Magnus Stenbock,David Hävermark,Skandia,Catella,Sweden,Helsingborg,,,,,Retail,"7,882","2,346",,,,,6.00%,,,,,,,1
,2018-04-05,,Projekt Storseglet,,Maison Forte,Nordier Property Advisors,Sweden,Nyköping,,,,,Other,"6,765","2,069",,,,,,,,,,,,1
,2018-04-05,,Gångaren 11,,AMF Fastigheter,Nordanö Partners,Sweden,Stockholm,,,,,Office,"30,161","2,468",,,,,4.98%,"1,800,000,000","59,680",,,,,1
,2018-04-05,,Marieberg Retail Park,,SPP Fastigheter & KF Fastigheter,CBRE,Sweden,Örebro,,,,,Retail,"8,508","1,372",,,,,5.66%,,,Development rights,,,,1
,2018-04-09,,Sjögläntan,,Järngrinden Projektutveckling och Mjöbäcks Entreprenad,Catella,Sweden,Haninge,,,,,Residential,"3,774","2,243",,,,,,,,,,,,1
,2018-04-12,,BIRSTA EAST,,TH Real Estate,CBRE,Sweden,Sundsvall,,,,,Retail,"9,546","1,107",,,,,,,,,,,,1
,2018-04-19,,Ferlinportföljen,,Abeuro Holding AB,Catella,Sweden,Various,,,,,Retail,"18,411",786,,,,,,,,,,,,1
,2018-04-26,,Ventilen 1,,HEG & Partners Fastigheter 5,Catella,Sweden,Skövde,,,,,Various,"5,925","1,093",,,,,,,,,,,,1
,2018-04-28,,Project Paul,,Castellum,Nordanö Partners,Sweden,Various,,,,,Various,"49,884",850,,,,,,,,Contains selected parts of Project Gordon,,,,1
,2018-05-02,,BRICKS,,Partners Group,Cushman & Wakefield,Sweden,Lund,,,,,Office,"21,741","1,989",,,,,5.60%,"570,000,000","26,218",,,,,1
,2018-05-03,,Karlstad & Hammarö Bostadsportfölj,,Willhem,Newsec,Sweden,Various,,,,,Various,"12,889","1,198",,,,,,,,,,,,1
,2018-05-14,,Projekt 8,,Variant,CBRE,Sweden,Various,,,,,Various,"19,491","1,497",,,,,,,,,,,,1
,2018-05-22,,Hjorten,,Private individuals,Catella,Sweden,Stockholm,,,,,Residential,"1,771","1,328",,,,,1.25%,"113,000,000","63,806",,,,,1
,2018-05-24,,Project 350,,Kungsleden,Nordanö Partners,Sweden,Eskilstuna,,,,,Various,"80,235","1,170",,,,,6.70%,"696,000,000","8,675",,,,,1
,2018-05-27,,Reläet 8,,DB Schenker,Colliers,Sweden,Norrköping,,,,,Various,"52,738",500,,,,,,,,,,,,1
,2018-06-01,,Extended stay hotell,,Saint Affärsutveckling och Förvaltning AB,Cushman & Wakefield,Sweden,Sollentuna,,,,,Office,"11,011","1,846",,,,,6.30%,"312,000,000","28,335",,,,,1
,2018-06-01,,Project Paddock,,IREEF,Nordanö Partners,Sweden,Stockholm,,,,,Office,"20,526","2,812",,,,,,,,,,,,1
,2018-06-04,,Falcon,,Skandia,JLL,Sweden,Skövde,,,,,Various,"3,033","2,261",,,,,,,,,,,,1
,2018-06-15,,Sisjön & Åbro Portfölj,,Thelander & Östling ,Newsec,Sweden,Various,,,,,Office,"8,070",771,,,,,,,,,,,,1
,2018-06-15,,Kobbegården 162:1,,Thelander & Östling ,Newsec,Sweden,Göteborg,,,,,Retail,"1,256","2,070",,,,,,,,,,,,1
,2018-06-30,,Wave,,Lärarförbundet,Savills,Sweden,Stockholm,,,,,Various,"19,229","1,263",,,,,,,,Development rights,,,,1
,2018-07-01,,Project Hevea,,Jefast Holding,Nordanö Partners,Sweden,Various,,,,,Other,"16,246","1,251",,,,,,,,,,,,1
,2018-08-23,,Project Coal,,YIT Rakennus Oy,KPMG,Finland,HMA,,,,,Office,"49,535",,,,,,,,,,,,,1
,2018-08-27,,Nova Lund,,TIAA,CBRE,Sweden,Lund,,,,,Retail,"25,800","3,969",,,,,,,,,,,,1
,2018-09-10,,Tumba Centrum,,Citycon,Catella,Sweden,Botkyrka,,,,,Office,"21,934","1,947",,,,,,,,,,,,1
,2018-09-10,,Cityportfölj Lund,,Vasakronan,Catella,Sweden,Lund,,,,,Various,"11,594","1,880",,,,,5.08%,"370,000,000","31,913",,,,,1
,2018-09-10,,Åkersberga Centrum,,Citycon,Catella,Sweden,Österåker,,,,,Various,"24,398","1,871",,,,,,,,,,,,1
,2018-09-11,,Project Vegas,,Ilmarinen Mutual Pension Insurance Company,CBRE,Finland,Helsinki,,,,,Office,"11,845",332,,,,,,,,,,,,1
,2018-09-13,,Project Edison,,GE Healthcare,CBRE,Finland,Helsinki,,,,,Office,"14,624",125,,,,,,,,,,,,1
,2018-09-13,,Schweigaards gate 33,,Bane NOR Eiendom,Malling & Co,Norway,Oslo,,,,,Office,"22,635",,,,,,,,,,,,,1
,2018-09-13,,Extended stay hotell,,Rooms to go,Cushman & Wakefield,Sweden,Sollentuna,,,,,Hotel,"2,574","2,331",,,,,,,,,,,,1
,2018-09-17,,Projekt Bonden,,Puma i Halmstad,Nordier Property Advisors,Sweden,Halmstad,,,,,Residential,"8,250","1,671",,,,,,,,Residential development,,,,1
,2018-09-17,,Veddesta 2:70,,Private individuals,Cushman & Wakefield,Sweden,Järfälla,,,,,Office,"4,583","1,207",,,,,,,,,,,,1
,2018-09-18,,Helsinki Court House,,Sponda,Nordanö & CBRE,Finland,Helsinki,,,,,Office,"48,617",252,,,,,,,,,,,,1
,2018-09-18,,Project Neutroni,,Tapiola KR III,Newsec,Finland,Riihimäki,,,,,Retail,"7,680",71,,,,,,,,,,,,1
,2018-09-19,,Patricia,,Interoc fastighetsutveckling,Catella,Sweden,Sigtuna,,,,,Residential,"3,450","2,035",,,,,,,,,,,,1
,2018-09-20,,Project Morpheus,,Veritas Pension Insurance,Advium,Finland,Helsinki,,,,,Office,"21,894",233,,,,,,,,,,,,1
,2018-09-21,,Project Marble,,LMN Finance & Virtanen Yhtiöt,Newsec,Finland,Turku,,,,,Office,"10,185",257,,,,,,,,,,,,1
,2018-09-24,,Buffeln 7,,Coop,Svefa,Sweden,Kristinehamn,,,,,Retail,"8,531",643,,,,,,,,,,,,1
,2018-09-24,,Salem 4:2,,Rosenmark Fastigheter,Real Value Management,Sweden,Salem,,,,,Residential,"2,149","3,164",,,,,,,,Leasehold,,,,1
,2018-09-24,,Boländerna,,Castellum,CBRE,Sweden,Uppsala,,,,,Retail,"47,717","1,233",,,,,6.63%,"700,000,000","14,670",,,,,1
,2018-09-25,,Project Curator,,Kokoelmakeskus,Cushman & Wakefield,Finland,Vantaa,,,,,Other,"39,241",92,,,,,,,,,,,,1
,2018-09-26,,Sylte Center,,Erik Hemberg Fastighets AB,Nordier Property Advisors,Sweden,Trollhättan,,,,,Retail,"5,260","1,136",,,,,,,,,,,,1
,2018-09-28,,Södra centrum,,Allkontor R Pehrsson ,Catella,Sweden,Göteborg,,,,,Office,"3,346","1,278",,,,,,,,Residential development,,,,1
,2018-09-28,,Logomo Office,,Hartela Länsi-Suomi & City of Turku,Aventum Real Estate,Finland,Turku,,,,,Office,"8,207",193,,,,,,,,,,,,1
,2018-10-01,,Länna Market,,Standard Life Investments European Real Estate Club,Cushman & Wakefield,Sweden,Huddinge,,,,,Retail,"36,674","1,630",,,,,5.97%,"840,000,000","22,905",,,,,1
,2018-10-02,,Espoo office properties,,Asemakulma & Asemaraitti,Ecorum,Finland,Espoo,,,,,Various,"8,322",171,,,,,,,,,,,,1
,2018-10-02,,Lilium Fastigheter,,Lilium Fastigheter,Catella,Sweden,Linköping,,,,,Various,"69,534","1,613",,,,,5.00%,"1,600,000,000","23,010",,,,,1
,2018-10-03,,Projekt Connect,,JT Gruppen,Nordier Property Advisors,Sweden,Various,,,,,Hotel,"17,034","1,965",,,,,,,,,,,,1
,2018-10-05,,Bauhaus Sisjön,,Alaska Real Estate,Panreal,Sweden,Göteborg,,,,,Retail,"17,200","1,338",,,,,4.50%,"450,000,000","26,163",,,,,1
,2018-10-09,,Pressi,,SRV Construction,Nordanö Partners,Finland,Vantaa,,,,,Office,"5,385",159,,,,,,,,,,,,1
,2018-10-10,,Prospekt Städet,,Divergensia Förvaltnings AB,Savills,Sweden,Karlstad,,,,,Office,"18,200",587,,,,,,,,,,,,1
,2018-10-10,,Åhlénshuset Uppsala,,Axfast,Catella,Sweden,Uppsala,,,,,Various,"12,482","3,071",,,,,5.00%,,,,,,,1
,2018-10-11,,Project DIXI,,NREP,CBRE,Finland,Vantaa,,,,,Retail,"8,393",387,,,,,,,,,,,,1
,2018-10-18,,Krokslätt 34:18,,Allkontor R Pehrsson,Catella,Sweden,Göteborg,,,,,Office,"3,346","1,041",,,,,,,,,,,,1
,2018-10-18,,Project Fortress,,LocalTapiola,Mrec,Finland,Helsinki,,,,,Various,"19,243",196,,,,,,,,,,,,1
,2018-10-18,,Vårdfastigheter Västra Götaland,,Lundh-Gruppen,Catella,Sweden,Various,,,,,Various,"2,562","1,867",,,,,,,,,,,,1
,2018-10-18,,Projekt Levels,,TryggHem Bostad,Pangea,Sweden,Täby,,,,,Retail,"40,500",,,,,,,,,Development rights,,,,1
,2018-10-22,,Project Hawk,,LocalTapiola,Catella,Finland,Lahti,,,,,Other,"6,547",149,,,,,,,,,,,,1
,2018-10-22,,Kite,,Areim,CBRE,Sweden,Stockholm,,,,,Office,"7,571","2,717",,,,,4.10%,"428,000,000","56,532","Yield 3,0% based on in place NOI, seller willing to leave rental guarantee of 4.7 SEKm regarding new tenant leads
",,,,1
,2018-10-23,,i5,,Patrizia GewerbeInvest Kapitalverwaltungsgesellschaft,JLL,Finland,Helsinki,,,,,Office,"8,886",229,,,,,,,,,,,,1
,2018-10-23,,Skålen,,SEB Trygg Liv,Catella,Sweden,Stockholm,,,,,Various,"18,003","1,659",,,,,2.51%,"1,100,000,000","61,101",,,,,1
,2018-10-24,,A1,,Genesta GNRE II Holding,JLL,Finland,Helsinki,,,,,Various,"11,227",271,,,,,,,,,,,,1
,2018-10-29,,Indigo,,Kingmar,CBRE,Sweden,Stockholm,,,,,Office,"18,726","2,432",,,,,,,,,,,,1
,2018-10-29,,Project Ruby,,Sponda,Catella,Finland,Tampere,,,,,Office,"20,000",198,,,,,,,,,,,,1
,2018-10-30,,Projekt Sisjön,,Tekno-Metall Internationella Agenturer,Savills,Sweden,Göteborg,,,,,Various,"7,946",996,,,,,,,,,,,,1
,2018-10-31,,Eurostop,,Unibail Rodamco,Catella,Sweden,Örebro,,,,,Hotel,"4,735","1,054",,,,,,,,,,,,1
,2018-11-01,,Terracotta,,Sponda,JLL,Finland,Helsinki,,,,,Various,"3,452",,,,,,,,,,,,,1
,2018-11-16,,Hermes,,Alecta Pensionförsäkring,CBRE,Sweden,Helsingborg,,,,,Various,"50,967","1,975",,,,,6.04%,"1,255,000,000","24,624","Yield 5,5% according to Datscha",,,,1
,2018-11-16,,Project Vista,,Botrygg,CBRE,Sweden,Various,,,,,Hotel,"23,900","2,244",,,,,,,,,,,,1
,2018-11-20,,Katrinelund Center,,Koggbron,Angermann,Sweden,Malmö,,,,,Retail,"13,844","1,231",,,,,,,,Residential development,,,,1
,2018-11-21,,Byggrätter på Limhamn,,Sigurd Holding i Skåne,Catella,Sweden,Malmö,,,,,Other,,,,,,,,,,Residential development,,,,1
,2018-11-21,,Fönsterfabriken,,Gustavssons Fastighetsförvaltning i Syd AB,Catella,Sweden,Malmö,,,,,Other,,,,,,,,,,Residential development,,,,1
,2018-11-21,,Projekt Sjöberg,,Prime Living,JLL,Sweden,Sollentuna,,,,,Retail,"1,373",837,,,,,,,,Development rights,,,,1
,2018-11-21,,Project Chestnut,,Balder & ByggFast,Cushman & Wakefield,Sweden,Täby,,,,,Office,"4,453","1,091",,,,,,,,Residential development,,,,1
,2018-11-22,,Positronen,,Vättersnäs Förvaltning,Panreal,Sweden,Jönköping,,,,,Office,"9,108","1,153",,,,,,,,,,,,1
,2018-11-26,,GOCDB,,SEB Trygg Liv,CBRE,Sweden,Göteborg,,,,,Various,"26,200","2,199",,,,,3.24%,,,,,,,1
,2018-11-29,,Döbeln 7,,Arwidsro,CBRE,Sweden,Lund,,,,,Various,"1,139","1,968",,,,,,,,,,,,1
,2018-12-07,,Prism,,Nordea Livförsäkring,JLL,Sweden,Linköping,,,,,Retail,"12,000","1,151",,,,,,,,,,,,1
,2018-12-12,,Aktia bank huset,,Högskolestiftelsen i Österbotten,,Finland,Vaasa,,,,,Various,"6,604",182,,,,,,,,,,,,1
,2018-12-12,,Storalånggatan 55,,Högskolestiftelsen i Österbotten,,Finland,Vaasa,,,,,Various,"1,138",,,,,,,,,,,,,1
,2018-12-12,,Laddarevägen,,YIT Talo,,Finland,Vaasa,,,,,Office,"1,650",164,,,,,,,,,,,,1
,2018-12-12,,Klemetsö,,WasaGroup,,Finland,Vaasa,,,,,Office,"1,439",155,,,,,,,,,,,,1
,2019-01-08,,Gjutmästaren,,HSB,JLL,Sweden,Stockholm,,,,,Various,"7,600",599,,,,,,,,Development rights,,,,1
,2019-01-09,,Samhällsfastigheter i Motala,,Roomzzz,Angermann,Sweden,Motala,,,,,Office,"3,533",947,,,,,,,,,,,,1
,2019-01-09,,Projekt Oden (pre-sale),,SEB Trygg Liv,Catella,Sweden,Stockholm,,,,,Various,"13,948",,,,,,,,,,,,,1
,2019-01-09,,Projekt Tribus,,Areim,Newsec,Sweden,Various,,,,,Retail,"30,800","1,366",,,,,,,,,,,,1
,2019-01-17,,Cernera,,Cernera,Nordier Property Advisors,Sweden,Borås,,,,,Office,"50,999","1,086",,,,,,,,,,,,1
,2019-01-23,,Oden,,SEB Trygg Liv,Catella,Sweden,Stockholm,,,,,Various,"13,838","2,152",,,,,,,,,,,,1
,2019-01-23,,Brädstapeln 13,,SEB Trygg Liv,Catella,Sweden,Stockholm,,,,,Office,"12,043","2,958",,,,,,,,Extension possibility,,,,1
,2019-01-28,,Älgskytten 12,David Hävermark,Vätterstads Markteknik,A&P,Sweden,Jönköping,,,,,Industrial,"5,763",457,,,,,,,,,,,,1
,2019-01-31,,Teaser Karlatornet,,Serneke,Pangea,Sweden,Göteborg,,,,,Various,"241,000",,,,,,,,,"Leasable area refers to Karlastaden, the entire project",,,,1
,2019-01-31,,Utvecklingsprojekt i Bålsta,,Real Holding,Catella,Sweden,Håbo,,,,,Industrial,"7,440",676,,,,,,,,Potential for residential development,,,,1
,2019-01-31,,Teaser Projekt Grande,,Akelius,Catella,Sweden,Malmö,,,,,Residential,"22,000",,,,,,,,,,,,,1
,2019-01-31,,Projekt Vito,,HEBA,JLL,Sweden,Stockholm,,,,,Residential,"26,722",,,,,,,,,,,,,1
,2019-01-31,,Projekt Näsbypark,,Profi,Pangea,Sweden,Täby,,,,,Various,"8,203","1,202",,,,,,,,Development rights,,,,1
,2019-01-31,,Project Node,,Profi,Pangea,Sweden,Upplands väsby,,,,,Office,"190,518","1,268",,,,,,,,,,,,1
,2019-02-04,,Trafikflyget 4,Björn Aronsson,Concentus i Kalix,Catella,Sweden,Stockholm,,,,,Hotel,"8,000","1,597",,,,,,,,,,,,1
,2019-02-07,,Kirjurinkatu 3,David Repton,Eläketurvakeskus,Ecorum,Finland,Helsinki,,,,,Office,"17,711",150,,,,,,,,,,,,1
,2019-02-12,,Projekt Grande,Josefin Bergholtz,Akelius,Catella,Sweden,Malmö,,,,,Residential,"23,213","1,185",,,,,,,,,,,,1
,2019-02-15,,Hospitalet,David Hävermark,Uppsala kommun,Trygga staden,Sweden,Uppsala,,,,,Various,"10,507","1,212",,,,,,,,"Development project, new zoning plan will be commenced 2020",,,,1
,2019-02-19,,Blacksmith,Tomas Rockström,Akelius,Cushman & Wakefield,Sweden,Eskilstuna,,,,,Various,"40,801","1,228",,,,,5.00%,"762,000,000","18,676",,,,,1
,2019-02-20,,Abisko,Eric Bergström,Tosito,Nordier Property Advisors,Sweden,Jönköping,,,,,Office,"10,145","1,998",,,,,,,,,,,,1
,2019-02-20,,SSB Kongsvinger,Tomas Rockström,Statsbygg,Malling & Co,Norway,Kongsvinger,,,,,Office,"12,225","1,297",,,,,,,,,,,,1
,2019-02-20,,Hallandsås 1 och Blåkråkan 4 ,David Hävermark,Micasa Fastigheter,Svefa,Sweden,Stockholm,,,,,Various,"1,367",,,,,,,,,"Both properties 100% vacant, leasehold",,,,1
,2019-02-20,,Hamnvakten 7,David Hävermark,Micasa Fastigheter,Svefa,Sweden,Stockholm,,,,,Residential,"21,441","1,436",,,,,,,,,,,,1
,2019-02-21,,Växlaren,Tomas Rockström,Bergudden,Real Value Management,Sweden,Eskilstuna,,,,,Various,"2,360","2,568",,,,,5.30%,"85,000,000","36,017",,,,,1
,2019-02-21,,Kullagerfabriken,David Hävermark,SKF,CBRE & Cushman & Wakefield,Sweden,Göteborg,,,,,Development,"24,804",,,,,,,,,"Industrial property with development opportunities of c. 56,000 sqm
https://cbreprojects.se/kullagerfabriken/
 
Med användarnamn:                skf_368
Lösenord:                                    cbreskf472
",,,,1
,2019-02-22,,Crown,Hanna Rauhala,Antilooppi,Advium,Finland,Helsinki,,,,,Office,"9,053",,,,,,,,,"Conversion asset in Helsinki, 100% vacant",,,,1
,2019-02-22,,Project Crimson,Hanna Rauhala,Sponda,Nordanö Partners,Finland,Helsinki,,,,,Office,"19,708",262,,,,,,,,,,,,1
,2019-02-22,,Project Bach,Hanna Rauhala,Sponda,Advium,Finland,Helsinki,,,,,Office,"4,415",239,,,,,,,,,,,,1
,2019-02-22,,Extended stay hotell Uppsala,Annika Fridolf,Fyrislundshuset,Cushman & Wakefield,Sweden,Uppsala,,,,,Hotel,,,,,,,,,,,,,,1
,2019-02-26,,Projekt M3,David Hävermark,Spendrups,Cushman & Wakefield,Sweden,Huddinge,,,,,Various,"7,000",,,,,,,,,,,,,1
,2019-02-26,,Project Circle,David Hävermark,AFA,HFF (BX mezz financing),Sweden,Stockholm,,,,,Various,"33,913",215,,,,,4.90%,"1,489,795,918","43,930","£34m mezz for BX Stockholm office asset (Södermalm), with Scius as manager",,,,1
,2019-02-28,,Hovsjö,David Hävermark,Södertälje,Svefa,Sweden,Södertälje,,,,,Residential,"61,098","1,146",,,,,,,,,,,,1
,2019-03-04,,Project Elverket,Josefin Bergholtz,SSM,Catella,Sweden,Nacka,,,,,Various,"20,365",990,,,,,,,,"Request for financing the development of housing in the project Elverket. JV Elverkshuset AB will develop 441 residential apartments in central Nacka. The project includes apartments consisting of 1-5 BR of a total of 19,364 sqm (LA) and five rooms on the ground floor, totaling 1.002 sq.m. (CA). Base rent refers to owner associations annual income (subtracted reimbursement for hot water)",,,,1
,2019-03-04,,Project Green,Hanna Keberku,Schage,Newsec,Lithuania,Vilnius,,,,,Various,"44,000",194,,,,,,,,,,,,1
,2019-03-05,,Project Brahe,Hanna Rauhala,Onvest,Aventum Real Estate,Finland,Hyvinkää,,,,,Logistics,"47,104",110,,,,,,,,,,,,1
,2019-03-05,,Project Emerald,Alexander Wörlund,,Catella,Finland,Oulu,,,,,Retail,,,,,,,,,,,,,,1
,2019-03-05,,Projekt Lagerchefen,Carl Rosén,PG Jönsson Fastigheter,Newsec,Sweden,Örebro,,,,,Various,"21,479",262,,,,,,,,"According to the SPA, market value of the properties is SEKm 75, which results in approx. 3,500 SEK/sqm",,,,1
,2019-03-06,,Tre Vapen 7,David Hävermark,Akademiska hus,Nordanö,Sweden,Stockholm,,,,,Other,"11,669","2,621",,,,,,,,,,,,1
,2019-03-06,,A House,David Hävermark,Akademiska hus,Nordanö,Sweden,Stockholm,,,,,Various,"10,374","2,804",,,,,,,,,,,,1
,2019-03-08,,Helsingborg High Street,David Hävermark,Executive Property,Catella,Sweden,Helsingborg,,,,,Various,"7,383","2,723",,,,,,,,,,,,1
,2019-03-12,,Project Pelagus,David Repton,Sirius Capital Partners,CBRE,Finland,Espoo,,,,,Office,"10,200",,,,,,,,,,,,,1
,2019-03-12,,Kejsaren 28,Carl Rosén,Private individuals,Cushman & Wakefield,Sweden,Stockholm,,,,,Various,"2,634","1,752",,,,,,,,,,,,1
,2019-03-12,,Majtalaren 6,Carl Rosén,Private individuals,Cushman & Wakefield,Sweden,Stockholm,,,,,Retail,"2,702","1,463",,,,,,,,,,,,1
,2019-03-14,,Drängen 1 & Duvskär 2,Josefin Bergholtz,Skanska,Catella,Sweden,Helsingborg,,,,,Residential,"7,488","1,723",,,,,,,,,,,,1
,2019-03-18,,Project HIO,David Hävermark,Dormy invest ,Colliers,Sweden,Örebro,,,,,Various,"9,921",958,,,,,,,,,,,,1
,2019-03-20,,Släggan 1,Carl Rosén,P.E Invest,Newsec,Sweden,Halmstad,,,,,n.a,"3,915",972,,,,,,,,,,,,1
,2019-03-20,,Kouvolankatu 15 & 28,David Repton,Atlas-invest,Suomen Toimitila,Finland,Kouvola,,,,,Office,"9,418",140,,,,,,,,,,,,1
,2019-03-20,,Portfölj syd,David Hävermark,Contentus,Catella,Sweden,Various,,,,,Various,"7,444","1,975",,,,,,,,,,,,1
,2019-03-20,,Project Alvar,Hanna Rauhala,Aalto University Foundation,CBRE,Finland,Otaniemi,,,,,Various,"23,251",179,,,,,,,,,,,,1
,2019-03-20,,Lion,David Hävermark,Nordika II Fastigheter,JLL,Sweden,Partille,,,,,Retail,"15,436","1,139",,,,,,,,,,,,1
,2019-03-21,,Mjölby,David Hävermark,Kildare,Colliers,Sweden,Mjölby,,,,,Retail,"16,816",204,,,,,,,,,,,,1
,2019-03-21,,Björkelund 1,David Hävermark,Kildare,Colliers,Sweden,Motala,,,,,Various,"29,659",219,,,,,,,,,,,,1
,2019-03-22,,Bostadsportfölj Arboga,Hanna Keberku,Bengtwicksén,Catella,Sweden,Arboga,,,,,Retail,"12,177",990,,,,,,,,,,,,1
,2019-03-22,,Saturnus 14,Carl Rosén,Järngrinden,PWC,Sweden,Borås,,,,,Other,"9,063","1,122",,,,,,,,,,,,1
,2019-03-25,,Multihuset Bryggan,David Hävermark,NCC,Cushman & Wakefield,Sweden,Malmö,,,,,Various,"19,837","2,245",,,,,,,,,,,,1
,2019-03-26,,Strömkarlen,David Hävermark,SEB Trygg Liv,CBRE,Sweden,Helsingborg,,,,,Retail,"6,924","1,764",,,,,6.00%,,,,,,,1
