6,46,2024/11/11,IM,Project Lotus,David Hävermark,Revelop,Nordanö,Sweden,Botkyrka,No,Gustaf De Lavals Väg,147 41 Botkyrka,Tumba 7:150,Office / Industrial,"80,679","1,576","93,000,000","1,153",3.7,97%,,-,-,"Mixed use property (52% warehouse/industrial & 32% offuce ) located in Tumba with proximity to Tumba centrum, E4 highway and public transport. 42% government backed rent. Alfa Laval, currently the largest tenant (52% of the leasable area), has announced their intention to relocate part of their operations to Flemingsberg, unlocking an opportunity to reposition the property into a regional hub for government agencies. Additional building rights of 180,000 sqm available",,,,
7,46,2024/11/11,IM,Kungsbacka Kolla 5:150,Josefin Bergholtz,BJC Holding,Kommersiella Fastigheter,Sweden,Kungsbacka,No,Diabasvägen 2,434 52 Kungsbacka,Kolla 5:150,Residential,"5,819","2,069","9,878,000","1,698",,100%,,-,-,"Located in the Kolla Parkstad area in Kungsbacka Municipality, the property currently has three completed buildings (Houses A-C) with a total of 87 apartments, as well as a fourth building (House D) under construction, scheduled for completion in spring 2025, which will add an additional 25 apartments.",,,,
8,45,2024/11/05,Teaser,Project Paragon Teaser,David Hävermark,Green Group etc.,HDR Partners,Sweden,Several,No,n/a,n/a,n/a,Industrial,-,-,-,-,-,0%,-,-,-,"Potential sale of a container self-storage provider, the operations including some IOS properties accross Sweden. Prinsens Lager is a Swedish container self-storage provider offering cost-effective storage solutions. They have 25 sites today of which 50% are freehold tenure. 1,700 containers on current sites with potential to expand with c. 600 containers on current sites. ",,,,
9,45,2024/11/04,IM,Preschool & LSS Malmö ,Annika Fridolf,n.a,Sundsstaden,Sweden,Malmö,Yes,Laavägen 43-45,218 72 Tygelsjö,Malmö Tygelsjö Gård 2,Public Use,"1,400","2,355","3,220,000","2,300",15.0,100%,-,-,-,"Two fully leased properties in Tygelsjö, Malmö, rented by Malmö municipality. The preschool(completed in June 2019 by Skanska) has a 15 year WAULT. The LSS residence (been completely renovated in two phases, 2014 and 2022) consist 700 sqm of residential space and a 250 sqm barn, leased until 2030 with a 5-year extension",,,,
9,45,2024/11/04,IM,Preschool & LSS Malmö ,Annika Fridolf,n.a,Sundsstaden,Sweden,Malmö,Yes,Tvågårdsvägen 3,218 75 Tygelsjö,Malmö Tygelsjö 54:29,Public Use,700,"1,653","1,139,000","1,627",5.0,100%,-,-,-,"Two fully leased properties in Tygelsjö, Malmö, rented by Malmö municipality. The preschool(completed in June 2019 by Skanska) has a 15 year WAULT. The LSS residence (been completely renovated in two phases, 2014 and 2022) consist 700 sqm of residential space and a 250 sqm barn, leased until 2030 with a 5-year extension",,,,
10,47,2024/11/18,IM,S&L Portfolio,Carl Rosén,Vinning AB,Rosengren & Co,Sweden,Jönköping,Yes,Momarken 16,,Flahult 78:3,Industrial,938,997,"935,000",997,10.0,,,-,-,"Located in Torsvik industrial area, approximately 11 km southwest of Jönköping.",,,,
10,47,2024/11/18,IM,S&L Portfolio,Carl Rosén,Vinning AB,Rosengren & Co,Sweden,Kinda,Yes,Bjärkeryd Skroten,,Bjärkeryd 1:9,Industrial,"1,341",608,"815,000",608,10.0,,,-,-,"Situated in Kisa, the property includes three buildings and a large yard.",,,,
10,47,2024/11/18,IM,S&L Portfolio,Carl Rosén,Vinning AB,Rosengren & Co,Sweden,Mariestad,Yes,Forsvägen 36,,Fors 1:29,Industrial,"1,760",628,"1,105,000",628,10.0,,,-,-,"Positioned near Ullervad, 3 km south of Mariestad, surrounded by forest and small houses.",,,,
10,47,2024/11/18,IM,S&L Portfolio,Carl Rosén,Vinning AB,Rosengren & Co,Sweden,Nässjö,Yes,Tuvegatan 3,,Tuvan 2,Industrial,"1,164","1,224","1,425,000","1,224",10.0,,,-,-,"Located in the southwestern industrial area of Nässjö, featuring extensive outdoor space.",,,,
10,47,2024/11/18,IM,S&L Portfolio,Carl Rosén,Vinning AB,Rosengren & Co,Sweden,Vaggeryd,Yes,Storgatan 85,,Älgen 2,Industrial,870,678,"590,000",678,10.0,,,-,-,"Situated in Skillingaryd, Vaggeryd, with good transport links via E4.",,,,
11,46,2024/11/15,IM,Projekt Gottorp,Josefin Bergholtz,Skanska Sverige AB,Svefa AB,Sweden,Malmö,No,,,Bunkeflostrand 21:3,Building Rights,"9,710",,,-,,,,,-,"The property is located in the new sustainable district of Bunkeflostrand, Malmö, with plans for residential and commercial development. The area is strategically positioned to connect rural and urban parts of Malmö, offering a mix of housing and amenities. The development aims to create a new local center in Bunkeflostrand.",,,,
12,46,2024/11/15,IM,Project Paragon,David Hävermark,Green Group etc.,HDR Partners,Sweden,Several,No,n/a,n/a,n/a,Industrial,-,-,-,-,-,0%,-,-,-,"Potential sale of a container self-storage provider, the operations including some IOS properties accross Sweden. Prinsens Lager is a Swedish container self-storage provider offering cost-effective storage solutions. They have 25 sites today of which 50% are freehold tenure. 1,700 containers on current sites with potential to expand with c. 600 containers on current sites. ",,,,
13,46,2024/11/15,IM,Nordsten Malmö,David Hävermark,Nordsten,Arctic Securities,Sweden,Malmö,No,n/a,n/a,n/a,Logistics,-,-,-,-,-,0%,-,-,-,"A cutting-edge logistics park at the Port of Malmö spanning 38,813 sqm, with a project cost of SEK 506 million and an estimated market value of SEK 834 million. The project features BREEAM certification and solar energy use, with a profit margin of SEK 328 million.",,,,
14,46,2024/11/15,IM,Nordesten Gothenburg,David Hävermark,Nordsten,Arctic Securities,Sweden,Gothenburg,No,n/a,n/a,n/a,Logistics,-,-,-,-,,,,-,-,"A JV opportunity to develop logistics properties near key locations, starting with a 37,584 sqm facility at the Port of Gothenburg. The project, designed with sustainability and efficiency in mind, has a total cost of SEK 590 million, an estimated market value of SEK 864 million, and a projected profit of SEK 274 million.",,,,
15,47,2024/11/19,IM,Koy Hyvinkään Sampotalo,Mathias Vuorelma,Mandatum Henkivakuutusosakeyhtiö,GEM Property Oy,Finland,Hyvinkää,No,Kauppatori 1,5800,Kiinteistö Oy Hyvinkään Sampotalo,Retail,"9,683",121,"793,000",82,5.0,93%,13.22%,"6,000,000",620,"Centrally located near the market square, with 81.4% of shares in Kiinteistö Oy Sampotalo for sale, offering control over a 9,683 m² commercial center and 155 parking spaces. The primary tenant (Tokmanni) contribute to 64% of the rental income with a lease valid until 2030. The debt-free asking price is €6,000,000.",,,,
16,47,2024/11/20,IM,Jakobsberg 2.964,Erik Widmark,HSB,Savills,Sweden,Järfälla,No,Margaretavägen 12-20,,Jakobsberg 2:964,Residential,"4,175","1,488","6,100,000","1,461",,,,-,-,"The property is centrally located in Jakobsberg, Järfälla, with excellent access to public transportation. Built in 1953, it has been upgraded over the years and offers potential for further value-enhancing renovations. The property includes both residential units and commercial spaces. The rent increase for 2024 is 5.9%, with a planned increase of 4.2% for 2025",,,,
17,47,2024/11/21,IM,Nordic Forum,Josefin Bergholtz,Revelop,Cushman & Wakefield,Sweden,Stockholm,No,Torshamnsgatan 35,-,Leasehold,Office / Hotel,"41,954","2,600","66,829,000","1,593",8.0,84%,-,-,-,"The Nordic Forum property is a modernized mixed-use asset featuring a diverse tenant mix, including a 25-year lease with anchor tenant Mogotel Hotel Group for a premium hotel. The asset has undergone significant investments, totaling SEK 491 million, enhancing its appeal with amenities such as a gym, restaurants, and co-working spaces. It boasts strong environmental credentials with a BREEAM In-Use rating of ""Very Good",,,,
18,47,2024/11/21,IM,True Møllevej 1,Anthony Romano,Det Frederiksbergske Ejendoms-Societet Aktieselskab,Colliers,Denmark,Aarhus,No,"True Møllevej 1, 8381 Tilst",8381,-,Industrial,"6,143",449,"2,745,139",447,,93%,6.58%,"45,000,000","7,325","The property is a modern logistics facility located near Aarhus with excellent access to major roads, making it ideal for distribution. It is largely occupied by Carlsberg and Elgiganten, with a small portion available for lease. The facility includes 8m ceilings and 12 loading docks, enhancing its utility for storage and logistics operations",,,,
19,47,2024/11/20,IM,2 x Lagerejendomme ,Anthony Romano,-,Lundgrens,Denmark,Taastrup,Yes,Rugvænget 10-14,2630 Høje ,-,Industrial,"8,302",807,"6,204,755",747,-,99%,8.86%,"70,000,000","8,432","Two light industrial properties in Glostrup and Taastrup, with an expected finder's fee of 1.25%.",,,,
19,47,2024/11/20,IM,2 x Lagerejendomme ,Anthony Romano,-,Lundgrens,Denmark,Glostrup,Yes,Naverland 17,2600 Glostrup,-,Industrial,"10,530",717,"7,243,912",688,5.7,88%,6.90%,"105,000,000","9,972","Two light industrial properties in Glostrup and Taastrup, with an expected finder's fee of 1.25%.",,,,
20,47,2024/11/21,Teaser,Project Phoenix,Mathias Vuorelma,Ragde Eiendom AS ,Newsec,Finland,Espoo,Yes,Rusthollarinkatu 2,,-,Retail / Devlopment,"6,700",,,-,,0%,,,,"The properties are strategically located at motorway junctions in Espoo, Porvoo, and Vaasa, offering excellent retail development opportunities with high footfall and easy accessibility. The assets are currently vacant, previously used by Plantagen, providing a blank canvas for potential development and utilization of unused building rights. 24,000 sqm in building rights",,,,
20,47,2024/11/21,Teaser,Project Phoenix,Mathias Vuorelma,Ragde Eiendom AS ,Newsec,Finland,Vaasa,Yes,Kivihaantie 1-3,,-,Retail / Devlopment,"3,600",,,-,,0%,,,,"The properties are strategically located at motorway junctions in Espoo, Porvoo, and Vaasa, offering excellent retail development opportunities with high footfall and easy accessibility. The assets are currently vacant, previously used by Plantagen, providing a blank canvas for potential development and utilization of unused building rights. 24,000 sqm in building rights",,,,
20,47,2024/11/21,Teaser,Project Phoenix,Mathias Vuorelma,Ragde Eiendom AS ,Newsec,Finland,Porvoo,Yes,Ruiskumestarinkatu 6,,-,Retail / Devlopment,"3,200",,,-,,0%,,,,"The properties are strategically located at motorway junctions in Espoo, Porvoo, and Vaasa, offering excellent retail development opportunities with high footfall and easy accessibility. The assets are currently vacant, previously used by Plantagen, providing a blank canvas for potential development and utilization of unused building rights. 24,000 sqm in building rights",,,,
21,46,2024/11/15,IM,Projekt Örn,Erik Widmark,Provberg Fastigheter 1 AB,Tango Capital Markets,Sweden,Stockholm,Yes,-,-,Provröret 9,Office,"2,725",,"2,869,000","1,053",-,-,-,,,"The project involves two existing office buildings in Örnsberg that are undergoing detailed planning for expanded uses, including offices, residential units, commercial purposes, and non-disturbing industry. The entire surrounding industrial area is also part of the same plan and will be developed with new housing. The detailed plan is expected to be reviewed and adopted by mid-2026, allowing for the addition of two to three residential floors to the buildings, which would provide lake views. The properties currently generate a net operating income of around SEK 16 million with historically low vacancy rates (below 5%).",,,,
21,46,2024/11/15,IM,Projekt Örn,Erik Widmark,Provberg Fastigheter 1 AB,Tango Capital Markets,Sweden,Stockholm,Yes,-,-,Provröret 15,Office,"10,270","1,694","12,845,000","1,251",-,-,-,,,"The project involves two existing office buildings in Örnsberg that are undergoing detailed planning for expanded uses, including offices, residential units, commercial purposes, and non-disturbing industry. The entire surrounding industrial area is also part of the same plan and will be developed with new housing. The detailed plan is expected to be reviewed and adopted by mid-2026, allowing for the addition of two to three residential floors to the buildings, which would provide lake views. The properties currently generate a net operating income of around SEK 16 million with historically low vacancy rates (below 5%)",,,,
22,48,2024/11/25,IM,Lyftkranen 3,Carl Rosén,Svenska Skydd Holding AB,Angermann,Sweden,Eskilstuna,No,Hejargatan 26,,Lyftkranen 3,"Industrienhet, industrihotell","12,214",698,"7,858,648",643,12.0,,,,,"Located in the Vilsta industrial area of Eskilstuna, the property benefits from proximity to major transport routes and a strategic position in one of Sweden's key logistics hubs",,,,
23,48,2024/11/26,IM,Stenmjölet 3,David Hävermark,Libeno Invest AB,Colliers,Sweden,Stockholm,No,"Siktgatan 5, Vällingby",162 50,Stenmjölet 3,"Industrial, Retail, Office","2,675","1,207","2,170",811,2.0,100%,,,,"Stenmjölet 3 is located in the Vinsta industrial area, a strategic location in western Stockholm poised for transformation into a mixed-use urban district. The property includes a diverse mix of tenants from retail, production, and office sectors. It offers significant potential for future development and rental income adjustments",,,,
24,48,2024/11/26,IM,Triplet-net portfolio,David Hävermark,-,Projektfinans,Sweden,Vänersborg,Yes,,,Stallet 18,Industrial,"5,996","1,594","9,375,000","1,564",15.0,100%,6.79%,"138,000,000","23,015","Stallet 18 is located in the Onsjö industrial area, Vänersborg. It is a newly constructed industrial property with a long-term lease to a leading tenant in the automotive and aviation cable industry",,,,
24,48,2024/11/26,IM,Triplet-net portfolio,David Hävermark,-,Projektfinans,Sweden,Norrtälje,Yes,Unknown,Unknown,Görla 9:25,Industrial,"2,139","1,478","3,150,000","1,473",8.0,100%,6.85%,"46,000,000","21,505","The property is located in the Görla industrial area in southern Norrtälje, with good access to major roads and public transport. It is primarily intended for industrial use and includes workshop areas, high storage, and office spaces. The property is fully leased to Ahlberg Cameras AB",,,,
24,48,2024/11/26,IM,Triplet-net portfolio,David Hävermark,-,Projektfinans,Sweden,Nyköping,Yes,Kocks Väg 9,,Fargo 6,Industrial,"3,023","1,091","3,900,000","1,290",-,100%,7.43%,"52,500,000","17,367","The property is located in Hemgården, just west of central Nyköping, near the E4. Commercial services are available in the city center, and public transport is accessible by bus. The area consists of newly built industrial and commercial properties. The industrial location is considered favorable due to its surroundings and proximity to the E4",,,,
24,48,2024/11/26,IM,Triplet-net portfolio,David Hävermark,-,Projektfinans,Sweden,Karlstad,Yes,Rådalsvägen 12,,Västra Torp 1:93,Industrial,"2,090",690,"1,400,000",670,10.0,100%,7.18%,"19,500,000","9,330","The property is in the Ilanda industrial area, 10 minutes from Karlstad, and includes 2,090 sqm of warehouse and office space. The building has a steel frame, metal facade, geothermal heating, and will be environmentally certified. The tenant, Entrack AB, has a 10-year lease and covers all operating costs, including property tax. The land will be divided into two parcels, with Entrack’s portion being 3,869 sqm, and the remainder (3,500 sqm) will be sold later",,,,
25,48,2024/11/26,IM,Warehouse at Avedøre Holme,Anthony Romano,-,CBRE,Denmark,Hvidovre,No,Kanalholmen 20,DK-2650,,Industrial,"3,650",621,"2,115,706",580,-,100%,,-,-,"Fully leased property located in Avedøre Holme, the property provides easy access to the E20 motorway (2 km) and is just 10 km from Copenhagen. The property features 16 strategically placed gates and is part of a cadastral plot divided into two commercial owner-occupied apartments",,,,
26,48,2024/11/26,Teaser,Besqab Syrénbersån,Niclas Jakobsen,-,n.a,Sweden,Uppsala,No,Genetikvägen,,,Residential,"6,055","2,156",,-,,,,-,-,"Besqab Syrénbersån is located in Ultuna Trädgårdsstad, 5 km south of central Uppsala. The new development project consists of 137 well-designed, Swan-labelled apartments in various sizes and layouts.",,,,
27,48,2024/11/26,IM,Single Asset Baldershøj 19,Anthony Romano,-,Colliers,Denmark,Ishøj,No,19,23655 Ishoj,Baldershøj 19,Industrial,"2,019",-,-,-,-,0%,-,"20,100,000","9,955","A light industrial property of approx. 2,000 m2 with the possibility of extending the warehouse with approx. 1,300 m2. ",,,,
28,48,2024/11/28,Teaser,Autokeskuksentie 7,Hanna Rauhala,-,OP,Finland,Pirkkala,No,Autokeskuksentie 7,33960,,Retail,"4,038",95,"352,698",87,,100%,,-,-,"Retail / LI property located in Linnakallio, Pirkkala. Leased to two tenants KX-Center Oy and R-Tech Suspension Oy",,,,
29,48,2024/11/28,Teaser,Naverland 26,Anthony Romano,Teknisk Agentur,Andersen Erhverv,Denmark,Glostrup,No,Naverland 26,2600 Glostrup,,Industrial,"3,272",550,"1,397,724",427,-,100%,5.66%,"24,694,770","7,547","The main tenant is also the seller. The property is owned by a separate company, enabling a tax-advantaged company transfer. Royal Unibrew and Logster pay below-market rents, providing potential for rent increases. Insulated cold storage areas (Teknisk Agentur’s warehouse and Logster’s space) could see higher rents with added heating. Some uncertainty remains due to the missing lease agreement for the new tenan",,,,
30,49,2024/12/05,Teaser,Thousand Lakes,Hanna Rauhala,Pandox AB,HOTELINTEL Consulting,Finland,Vantaa,Yes,"Elannontie 9, Vantaa",1510,Hotel,Hotel,"7,998",Not specified,"1,984,000",,9 + 5,69%,Not specified,-,-,"Skyline Airport Hotel. Located near Helsinki Vantaa Airport, this hotel offers proximity to business parks and the planned Moomin Theme Park.",,,,
30,49,2024/12/05,Teaser,Thousand Lakes,Hanna Rauhala,Pandox AB,HOTELINTEL Consulting,Finland,Vantaa,Yes,"Veromäentie 1, Vantaa",1510,Hotel,Hotel,"3,030",Not specified,"546,000",,9 + 5,55%,Not specified,-,-,"Pilot Airport Hotel. Situated close to Helsinki Vantaa Airport, this hotel is in a mixed residential area with potential for rebranding.",,,,
30,49,2024/12/05,Teaser,Thousand Lakes,Hanna Rauhala,Pandox AB,HOTELINTEL Consulting,Finland,Espoo,Yes,"Korpilammentie 5, Espoo",Not specified,Resort & Conference,Hotel,"8,822",Not specified,Not specified,,Not specified,33%,Not specified,-,-,"Hotel Korpilampi. This resort is surrounded by lakes and forests, offering significant MICE opportunities and proximity to Helsinki.",,,,
30,49,2024/12/05,Teaser,Thousand Lakes,Hanna Rauhala,Pandox AB,HOTELINTEL Consulting,Finland,Imatra,Yes,"Torkkelinkatu 2, Imatra",55100,Hotel,Hotel,"10,544",Not specified,Not specified,,Not specified,42%,Not specified,-,-,"Scandic Imatran Valtionhotelli. A historical Jugend style hotel centrally located in Imatra, offering a unique landmark with further development potential.",,,,
31,49,2024/12/05,Teaser,Nisulankatu 78,Teemu Vaahteranoksa,Ovaro Kiinteistösijoitus Oy,Cushman & Wakefield,Finland,Jyväskylä,No,Nisulankatu 78,,,Retail,"2,046",,"200,000",,13.6,,,-,-,"This property is a centrally located, renovated historical commercial building in Jyväskylä, featuring well-known tenants like Kesko and Fitness24Seven.",,,,
32,49,2024/12/06,IM,"Barkarbystaden Kvarter 3 – ""Signaturkvarter""",Josefin Bergholtz,Reliwe & Derome (JV),NorthCap Advisory,Sweden,Järfälla,No,,,"Barkarby 2:84, 2:88, 2:89",Residential,"17,172",,"52,500,000","3,057",,,5.0%,"1,050,000,000","61,146","Barkarbystaden Kvarter 3, known as the ""Signaturkvarter,"" is located next to the new main square and metro station in Barkarbystaden, offering  356 rental apartments with an average unit size of 45 sqm.. The project, backed by Derome and Reliwe with comprehensive guarantees, is set to commence in Q1 2025 with completion targeted for 2027. It presents an investment opportunity with a projected yield of 5.0% and a forward funding rate of 6.0%.",,,,
33,49,2024/12/06,IM,Miso / Umami Park,Josefin Bergholtz,Reliwe & Derome (JV),NorthCap Advisory,Sweden,Sundbyberg,No,"Freden Större 15, 21 & 22",,,Residential,"13,900",,"41,360,000","2,976",,,4.9%,"845,000,000","60,791","Umami Park is located just 150 meters from the metro station, offering  308 rental apartments (average unit size 43 sqm) in three buildings. The area benefits from excellent transportation links and a variety of nearby services. The project is designed with a high sustainability profile, including energy class B and Environmental Building Silver certification. Completion expected in 2026",,,,
34,49,2024/12/06,Teaser,Solhusen,Josefin Bergholtz,Sveafastigheter,,Sweden,Nacka,No,,,,Residential,"7,803",,"19,400,000","2,486",,,4.7%,"410,000,000","52,544","Located in a central area of Nacka (Orminge), the Solhusen project features 147 newly constructed rental apartments (average unit size 52 sqm). The development emphasizes environmental sustainability, adhering to the standards for the Miljöbyggnad Silver certification",,,,
35,49,2024/12/06,Teaser,Gamla Landsvägen,Josefin Bergholtz,Sveafastigheter,,Sweden,Nacka,No,,,,Residential,"4,324",,"11,900,000","2,752",,,4.4%,"270,000,000","62,442","Located in a central area of Nacka (Ektorp), the project includes 87 apartments (average unit size 48 sqm), with 10 designed as group housing for individuals under the Social Services Act.",,,,
36,49,2024/12/06,Lead,Resi project in Spånga,Josefin Bergholtz,Slättö,,Sweden,Spånga,No,,,,Residential,"40,000",,,-,,,,-,-,"The project involves developing 40,000 sqm of gross floor area (BTA) in Spånga. The goal is to start construction on the first building in 2025.",,,,
37,50,2024/12/10,Lead,Grace,Filip Gustavsson,Wallenstam,Savills,Sweden,Nacka,No,,,,Residential,"9,800",,"30,000,000","3,061",,,3.9%,"770,000,000","78,571","The project includes 169 newly completed apartments in central Nacka. The project boasts excellent access to public transport and amenities, enabling residents to reach central Stockholm in just 20 minutes as of today. A new metro station is planned to open in the area 2030. Premium product with high price expectations (and high negotiated rents).",,,,
38,50,2024/12/10,IM,"Turku, Satakunnantie 164",Mathias Vuorelma,,Kiinteistötoimisto Hansa Oy,Finland,Turku,No,Satakunnantie 164,20320,853-77-55-2,Retail,"7,558",,"801,548",,,,9.43%,"8,500,000","1,125","Located in the western part of Turku near Länsikeskus, the property is a commercial building with a leasable area primarily for retail, including tenants such as Ahlsell Oy and Maalarienmestarien Oy.",,,,
39,51,2024/12/16,Teaser,Project Sol,Carl Rosén,,CBRE,Sweden,Örebro,Yes,,,Örebro Mobilkranen 4,Logistics,"13,310",,"8,000,000",,4.2,100%,,,,"Strategic location with extensive reach, catering to over half of the Swedish population within a 3-hour drive.",,,,
39,51,2024/12/16,Teaser,Project Sol,Carl Rosén,,CBRE,Sweden,Borås,Yes,,,Borås Vindtyget 10,Logistics,"21,343",,"12,700,000",,4.4,100%,,,,"Located near the Port of Gothenburg, the largest port in Scandinavia, offering extensive catchment.",,,,
39,51,2024/12/16,Teaser,Project Sol,Carl Rosén,,CBRE,Sweden,Vansbro,Yes,,,Vansbro Ytteråker 2:5,Logistics,"36,652",,"34,000,000",,19.0,100%,,,,Features substantial tenant investment in automation and energy efficiency with solar panels.,,,,
40,2,2025/01/09,Teaser,Project ASP,Teemu Vaahteranoksa,Tekova Development Oy,Cushman & Wakefield,Finland,Kuopio,No,Teollisuuskatu 6,70620,,Retail,"7,312",,"1,060,000",145,8.2,,,-,-,"Forward retail big box investment opportunity in Kuopio. Construction time 12 months, forward funding or forward purchase. Tenants will be Gigantti, Power and Jula.",,,,
41,51,2024/12/15,IM,Emmauksenkuja 5,Teemu Vaahteranoksa,-,Tuloskiinteistöt,Finland,Turku,No,Emmauksenkuja 5,20380,,Other,"2,339",,"292,600",125,11.0,100%,,-,-,"Padel hall located in Räntämäki, Turku. The building was constructed in 2022.",,,,
42,51,2024/12/15,Teaser,Harjutie 5,Teemu Vaahteranoksa,-,Tuloskiinteistöt,Finland,Rusko,No,Harjutie 5,21290,,Industrial,"11,000",,"600,000",55,4.0,100%,10.43%,"5,750,000",523,Fully leased LI/warehouse property located next to Turku airport,,,,
43,51,2024/12/15,IM,Meijerinkatu 2-4,Teemu Vaahteranoksa,-,Tuloskiinteistöt,Finland,Vaasa,No,Meijerinkatu 2-4,65100,,Other,"16,950",,"1,383,200",82,2.9,96%,,-,-,"Mixed use property located in Vaasa. Main tenants are Euromaster, Hoplop, Posti and Grano. Four different buildings.",,,,
44,51,2024/12/18,Teaser,Project Grace,Erik Widmark,Wallenstam,Savills,Sweden,Nacka,No,,,Sicklaön 134:36,Residential,"9,778",,"30,000,000","3,068",,,3.9%,"770,000,000","78,748","The project includes 169 newly completed apartments in central Nacka. The project boasts excellent access to public transport and amenities, enabling residents to reach central Stockholm in just 20 minutes as of today. A new metro station is planned to open in the area 2030. Premium product with high price expectations (and high negotiated rents).",,,,
45,52,2024/12/23,Teaser,Project Proximal,Carl Rosén,,Savills,Sweden,Uppsala,Yes,Kungsgatan 103,75318,Kungsängen 34:3,Light Industrial,"10,590",255,,-,0.3,,,,-,"Centrally located light industrial property with significant development potential. The property is strategically positioned near Uppsala city center and major transport routes. Rental income is MSEK 2.7, unspecified whether it is triple net. There is a mutual 3 months mutual notice period and with a waiver from security of tenure agreement in place. 10,590 sqm is currently leased to Riddermark Bil AB",,,,
46,3,2025/01/13,Lead,Noatun,Filip Gustavsson,,Nordanö,Sweden,Strömstad,No,Trädgårdsgatan 10,45231,,Residential,"9,996","2,175","17,104,000","1,711",,100%,,-,-,"The project is located in the Myren area in central Strömstad and consists of two neighbourhoods, Linden and Häggen. It consists of 256 new apartments. The project was sold to Runar Vatne in 2021, however he was not able to take over when the project was finished in 2023. Ongoing discussions between parties, but likely a new sales process in 2025. The project is valued at 400 mSEK. ",,,,
47,3,2025/01/13,IM,Project Wired,Anthony Romano,Goldilocks Holding S.á.r.l,Colliers,Denmark,Ballerup,Yes,Telegrafvej 6,2750 Ballerup,"1bu Pederstrup By, Pederstrup",Logistics,"7,858",470,"3,650,758",465,1.8,100%,,,-,"Located in Ballerup, these properties offer excellent connectivity to Greater Copenhagen, making them ideal for logistics.The portfolio includes two well-established logistics properties with significant leasable areas.",,,,
