,Country,Date,Buyer,Seller,Location,Property type,Property type 2 (use drop-down menu),Main use (if Mixed use),Use (if Development/Building rights),Comment (if Redevelopment),Comment (if Other),"Price, MSEK","Area, m2","Price, SEK/m2",Comments,Comments from Friday meeting,Yield,Project name,Broker,BRE received,Received by,BRE reviewed,BRE bid,Souce,
,Sweden,2025/12/29,Vacse,Capman,Solna,Public use,,,Development,Redevelopment and tenant adaptation,,650,"6,700","97,015","Vacse acquired a development property in Solna to be refurbished and adapted for a judicial authority. The total investment, including project costs, is estimated at approximately SEK 650m. The asset is believed to be located near E4 in northern Solna, with Catella advising the seller.",,,,,,,,,Vacse invests SEK 650 million in Solna,
,Sweden,2025/12/23,Kunskapsporten,-,Skurup,Public use,,,Development,,,155,"3,300","46,970",Kunskapsporten is developing a new indoor swimming and wellness facility in Skurup under a turnkey contract with Peab. The project expands the municipality’s sports infrastructure and is scheduled for completion in 2028.,,,,,,,,,Kunskapsporten invests in a swimming pool in Skurup,
,Sweden,2025/12/23,Nivika,-,Helsingborg,Light Industrial,,,,,,83,"3,850","21,429",Nivika acquired a fully let light industrial property in Helsingborg leased to Ahlsell on a remaining lease term of around five years. The transaction marks Nivika’s return to Helsingborg and strengthens its presence in southern Sweden.,,,,,,,,,Nivika buys a house with Ahlsell in Helsingborg,
,Sweden,2025/12/23,Safjället Fastigheter,Folksam Liv,Gothenburg,Office,,,,,,138,"3,250","42,462","Safjället Fastigheter acquired an office property in Gårda from Folksam, consolidating ownership of a connected building block in the area. The acquisition enables a more holistic development strategy for the block and strengthens Safjället’s position in Gårda.",,,,,,,,,PG Persson strikes with new purchase in Gothenburg,
,Sweden,2025/12/23,Intea,Smedjan Samhällsfastigheter,Härnösand,Public use,,,,,,223,"4,129","54,008","Intea acquired the new Ångermanland District Court, currently under completion, fully leased to the Swedish Courts Administration on a 15-year lease. The property combines a historic renovation with new construction and strengthens Intea’s public property presence in Härnösand.",,,,,,,,,Intea acquires new district court,
,Sweden,2025/12/23,Emilshus,Multiple sellers,Various,Light industrial,,,,,,379,"28,800","13,160","Emilshus acquired 14 fully let properties across Sweden in eight transactions, primarily within light industrial, with nine assets located in Malmö. The portfolio is leased to established tenants such as Sonepar, Peab and Alcro and enhances Emilshus’ cash flow and geographic diversification.",,,,,,,,,Emilshus strikes with purchase of nine houses in Malmö,
,Sweden / Denmark,2025/12/23,Multiple buyers,Castellum,Various,Mixed use,,Office / Retail / Industrial / Hotel,,,,500,"32,800","15,244","Castellum divested seven non-core properties across Sweden and Denmark with elevated vacancy levels as part of portfolio optimization. The assets span office, retail, industrial and hotel use and are sold to improve overall return on equity and capital efficiency.",,,,,,,,,Castellum sells seven vacant properties for SEK 500 million,
,Sweden,2025/12/22,Logistea,Ekvik Investment Group,"Karlstad, Kumla, Lindesberg",Industrial,,,,,,138,"9,378","14,715","Logistea acquired three fully let industrial and logistics properties via share deals. The assets are leased to Bama Foods, Arnessons Betongborrning, Maskin Väst and several smaller tenants, with an average remaining lease term of approximately 6.5 years.",,,,,,,,,"Logistea buys three 10,000 sq m buildings for SEK 138 million",
,Sweden,2025/12/22,Anguli Fastigheter,Kraftstaden Fastigheter,Trollhättan,Industrial,,,,,,138,,-,"Anguli acquired three fully leased industrial properties in Trollhättan, establishing a new presence in the city. The assets house industrial tenants including Mimsafe, Westcoast Windows and Ultramare and strengthen Anguli’s footprint in the Trestad area.",,,,,,,,,Offensive Anguli buys,
,Sweden,2025/12/22,Intea,Micropower Fastighets AB,Växjö,Public use,,,,,,107,"6,600","16,212","Intea acquired a police property near Växjö Airport fully leased to the Swedish Police Authority until 2036. The property includes additional development rights of approximately 6,000 sqm, with an option for the tenant to expand through new construction.",,,,,,,,,Intea buys police building,
,Sweden,2025/12/22,Diös,SKIFU,Sundsvall,Office,,,,,,-,"2,600",-,Diös acquired a centrally located office property adjacent to the central station in Sundsvall with strong occupancy and an eight-year lease to Sundsvall Energi. The asset also benefits from an ongoing detailed zoning plan that creates future development potential.,,,,,,,,,Diös in double smaller deals – keeps prices secret,
,Sweden,2025/12/22,Lärkstaden AB,Diös,Luleå,Mixed-use,,Mixed use,,,,-,"11,000",-,Diös divested a mixed-use property located outside central Luleå as part of its portfolio optimization strategy. The sale allows Diös to reallocate capital toward assets and locations where it sees higher long-term value creation potential.,,,,,,,,,Diös in double smaller deals – keeps prices secret,
,Sweden,2025/12/22,Sehlhall,Norrtälje kommun,Norrtälje,Care / Social infrastructure,,,Development,,,-,-,-,Sehlhall acquired land in Solbacka with the intention to develop a new care home and group housing as part of Norrtälje’s long-term elderly care strategy. The project is planned to start construction in late 2026 and will be certified according to Miljöbyggnad Silver.,,,,,,,,,Sehlhall buys land for nursing home in Norrtälje,
NEW,Sweden / Denmark,2025/12/22,Multiple,Corem Property Group,"Mölnlycke, Gothenburg, Linköping, Täby, Copenhagen",Mixed use,,Mixed use,,,,300,"17,600","17,045","Corem divested five properties across Sweden and Denmark in four separate transactions to support geographic focus and capital reallocation. The assets span office, warehouse and care uses, with Järngrinden acquiring the Mölnlycke property to strengthen its local presence.",,,,,,,,,Corem sells for SEK 300 million,
,Sweden,12/18/2025,Patriam,John Mattson,Nacka,Residential,,,Residential,,,73,"1,300","56,154","John Mattson sold a vacant office property with an approved zoning plan for residential development to Patriam, enabling approximately 28 new apartments in a waterfront location in Finnboda. ",,,,,,,,,John Mattson säljer till Patriam i Nacka,
,Sweden,12/18/2025,Logistea,-,Uddevalla & Trollhättan,Industrial,,,,,,84,"6,899","12,176","Logistea acquired two fully leased logistics and light industrial properties in Uddevalla and Trollhättan through share deals, with strong tenants in food wholesale and industrial technology. The transaction strengthens Logistea’s regional portfolio with stable cash flow and limited operational responsibility for the owner.",,,,,,,,,Logistea köper i Uddevalla och Trollhättan,
,Sweden,2025/12/18,Frentab Fastigheter,-,Stockholm,Industrial,,,,,,-,"5,100",-,"Frentab Fastigheter acquired two leasehold industrial properties in Lunda and Högdalen, strengthening its presence in established Stockholm industrial submarkets. The assets will be actively managed and selectively renovated to support long-term demand from construction and production tenants.",,,,,,,,,Frentab köper i Lunda och Högdalen,
,Sweden,2025/12/18,Revelop,Hemsö,Botkyrka,Social infrastructure,,,,,,-,"8,600",-,Hemsö divested a mixed-use care-oriented property near Tullinge station to Revelop as part of its portfolio consolidation strategy. The transaction enables Hemsö to reallocate capital toward new investments in sustainable social infrastructure.,,,,,,,,,Hemsö säljer till Revelop i Tullinge,
,Sweden,2025/12/17,Skanska,-,Uppsala,Residential,,,,,,250,-,-,"Skanska is investing in the final development phase of the Närheten residential project in Kungsängen, completing a long-term development in the area. The project comprises owner-occupied apartments with strong sustainability credentials and is scheduled for completion in 2027.",,,,,,,,,Skanska investerar 250 mkr i flerbostadshus i Uppsala,
,Sweden,2025/12/17,Prisma Properties,-,Simrishamn,Retail,,,,,,-,"2,100",-,"Prisma Properties has secured a long-term lease with Lidl for a new grocery store at a strategic entry point to Simrishamn, subject to planning approval. The project strengthens Prisma’s presence in southern Sweden and aligns with its focus on discount food retail.",,,,,,,,,Prisma och Lidl satsar i Simrishamn,
,Sweden,2025/12/17,Fagnes AB,Lansa Fastigheter,Växjö,Other,,,,,,-,"1,603",-,"Lansa divested a small, vacant property in Växjö as part of its ongoing portfolio optimisation strategy. The buyer is a local investor planning to redevelop the asset based on future market needs.",,,,,,,,,Lansa säljer litet och tomställt i Växjö,
,Sweden,2025/12/17,-,Gillesvik,Stockholm,Mixed-use,,,,,,-,350,-,"Gillesvik sold a small, centrally located property in Gamla Stan following a completed renovation cycle. The transaction reflects continued liquidity and pricing strength for high-quality assets in Stockholm’s historic core.",,,,,,,,,Affär mitt i Gamla stan,
,Sweden,2025/12/17,Trophi Fastighets AB,Coop ,Karlshamn,Retail,,,,,,110,"7,400","14,865","Trophi acquired two grocery-anchored properties in Karlshamn through a sale-and-leaseback with Coop, securing long-term leases with a dominant food retail income share. The transaction strengthens Trophi’s daily-goods portfolio with stable cash flows and strong tenant covenants.",,,,,,,,,Trophi acquires two from Coop for SEK 110 million,
,Sweden,2025/12/17,Sveafastigheter / KlaraBo,KlaraBo / Sveafastigheter,Various,Residential,,,,,,"2,100","90,000","23,333","Sveafastigheter and KlaraBo executed a large-scale residential portfolio swap to improve management efficiency and geographic focus. The transaction optimises both companies’ portfolios by reinforcing core clusters while divesting non-strategic locations. The swap expands SF’s presence in Jönköping, Umeå, Falun, Borlänge, Höganäs, Oskarshamn, while exiting Malmö, Sundsvall, Östersund, Trelleborg, Motala.",,,,,,,,,Sveafastigheter in exchange deal worth SEK 2.1 billion,
,Sweden,2025/12/17,-,Fondamentor,Umeå,Mixed-use,,,,,,-,"2,038",-,Fondamentor divested two long-held properties in Röbäcksdalen following more than a decade of active asset management and upgrades. The sale marks a natural exit after value creation with stable public-sector and corporate tenants.,,,,,,,,,Fondamentor i mindre försäljning i Umeå,
,Sweden,2025/12/17,Vacse,Avere Fastigheter,Borås,Social infrastructure,,,,,,-,"4,300",-,"Vacse acquired a fully refurbished education property used for police training and leased long-term to the University of Borås. The acquisition complements Vacse’s portfolio of specialised public-sector properties with stable, government-related income.",,,,,,,,,Vasce köper fastighet för polisutbildning,
,Sweden,2025/12/17,FlexFast Sverige AB,ÅFA Aktiebolag,Stockholm,Light industrial,,,,,,-,"1,700",-,FlexFast strengthened its Stockholm presence by acquiring a city-near industrial leasehold in the established Lunda area. The asset fits the company’s strategy of owning and developing flexible light industrial properties with long-term value potential.,,,,,,,,,FlexFast gör mindre förvärv i Spånga,
,Sweden,2025/12/16,Trophi Fastighets AB,Botrygg AB,Linköping,Retail,,,,,,-,"2,013",-,Trophi acquired a centrally located grocery-anchored property in Linköping with Hemköp as tenant and an adjacent garage. The deal strengthens Trophi’s presence in the city with a daily-goods asset offering stable cash flow and strong accessibility.,,,,,,,,,Trophi förvärvar i centrala Linköping,
,Sweden,2025/12/16,Hagabacken,Multiple sellers,Various,Commercial,,,,,,"1,000","76,442","13,082","Hagabacken completed 28 acquisitions across light industrial, warehouse, office and social infrastructure assets during Q4. The investments focus on cash-flow-generating properties in strong micro-locations and lift the total portfolio value above SEK 4 billion.",,,,,,,,,Hagabacken köpt för 1 mdr – når totalt 4 mdr,
,Sweden,2025/12/16,Lerstenen & Selbergs (JV),Wästbygg Gruppen,Umeå,Development,,,Residential & local centre,,,92,"29,000","3,172","Lerstenen and Selbergs acquired large, zoned development rights in central Umeå with plans for approximately 300 homes and complementary retail. The transaction aligns with both parties’ strategies to expand long-term residential development through well-located projects.",,,,,,,,,Duo köper byggrätter för 300 bostäder i Umeå,
,Sweden,2025/12/16,Trianon,Lifra,Malmö ,Residential,,,,,,188,"9,800","19,184","Trianon continued its expansion in Sofielund through the acquisition of eight residential properties, adding 170 apartments to its local portfolio. Trianon has thus purchased for SEK 428 million in Sofielund in the last couple of days. The deal increases operational efficiency and reinforces Trianon’s long-term commitment to housing-led urban development in Malmö.",,,,,,,,,Trianon förvärvar ytterligare åtta i Sofielund,
,Sweden,2025/12/16,Hedern Fastigheter,Nybergs,Örnsköldsvik,Mixed-use,,,,,,-,-,-,Hedern strengthened its position in Örnsköldsvik’s city centre by acquiring a landmark banking property and a centrally located parking site with residential development potential. The transaction supports Hedern’s strategy of long-term ownership and city-centre densification.,,,,,,,,,Hedern fortsätter köpa i Örnsköldsviks stadskärna,
,Sweden,2025/12/15,Nordiqus,Athena Fastigheter,Enköping,Public use,,,School,,,-,"5,500",-,"Nordiqus entered Enköping through a forward commitment acquisition of a new F–9 school with a long-term lease to Jensen Education. The transaction strengthens Nordiqus’ education infrastructure portfolio with a modern, sustainability-certified asset in a growing residential area.",,,,,,,,,Nordiqus acquires school project in Enköping,
,Sweden,2025/12/15,Trianon,Mava Fastigheter ,Malmö,Residential,,,,,,240,"13,440","17,857","Trianon acquired ten centrally located residential properties in Sofielund, significantly strengthening its Malmö-focused housing portfolio. The assets offer clear long-term value creation potential and contribute positively to earnings through stable rental income.",,,,,,,,,Trianon buys for SEK 240 million,
,Sweden,2025/12/15,City of Stockholm,Einar Mattsson,Stockholm ,Residential,,,,,,"1,400",-,-,"The City of Stockholm agreed to repurchase approximately 1,200 rental apartments in Hjulsta through its municipal housing company Familjebostäder. The transaction is politically significant and reinforces public ownership of rental housing without affecting existing tenant contracts.",,,,,,,,,Einar Mattsson closes deal with billion-dollar deal in Hjulsta,
,Sweden,2025/12/15,REX Industrihus AB,Neobo,Norrköping,Industrial,,,,,,19,"1,070","17,757",Neobo divested a non-core industrial asset in Norrköping as part of its ongoing portfolio optimization strategy. The sale frees up capital to be redeployed into residential investments within the company’s core focus areas.,,,,,,,,,Neobo sells industrial property in Norrköping,
,Sweden,2025/12/15,Southbay,Evolv (Slättö),Norrköping,Logistics,,,,,,-,"17,700",-,"Southbay completed its sixth investment with the acquisition of a newly completed logistics asset featuring a strong anchor tenant and leasing upside. The transaction marks a geographic expansion and strengthens Southbay’s modern, sustainability-focused logistics portfolio.",,,,,,,,,Southbay's sixth investment – ​​buying from Slättö,
,Sweden,2025/12/15,Genova Property Group (JV with Nordium),Exerton,Ekerö,Development,,,Residential,,,21,"40,000",525,Genova acquired a majority stake in a joint venture controlling a former industrial site earmarked for residential development in Ekerö centrum. The investment aligns with Genova’s strategy of early-stage urban development to create long-term value through new zoning.,,,,,,,,,Buying a large dilapidated property in a future location,
,Sweden,2025/12/12,Brf Rackelhanen 2,SH Pension,Stockholm,Residential,,,,,,217,"2,660","81,748",The tenant-owned housing association Brf Rackelhanen 2 acquired its property on Östermalm through a right of first refusal from SH Pension. The transaction converts the building into tenant ownership and was financed via Ålandsbanken.,,,,,,,,,Brf completes purchase for SEK 217 million in Östermalm,
,Sweden,2025/12/12,Alecta Fastigheter,Svenska Spel,Stockholm,Commercial,,,,,,-,"5,300",-,"Alecta Fastigheter acquired the landmark Hasseln 1 property, formerly housing Casino Cosmopol, in a strategic inner-city location. The asset will be repositioned into high-quality offices and event space as part of Alecta’s broader Västra City strategy.",,,,,,,,,Buying the casino house in the city,
,Sweden,2025/12/12,Vaultica,-,"Upplands Väsby, Stockholm",Data center,,,,,,-,"5,600",-,"Vaultica opened its largest Nordic data center facility in Upplands Väsby, strengthening its European platform backed by Apollo Funds. The facility supports high-capacity enterprise and cloud clients with a strong focus on security, scalability and renewable energy use.",,,,,,,,,Vaultica invests in data centers in the 08 area,
,Sweden,2025/12/11,NP3 Fastigheter,Multiple sellers,Various,Retail,,,,,,442,"41,400","10,676","NP3 acquired 12 fully leased retail and industrial properties across several cities in its core Mid Sweden market through three transactions. The acquisitions support NP3’s continued portfolio expansion, with long average lease terms and full occupancy.",,,,,,,,,NP3 buys for 442 million,
,Sweden,2025/12/11,Muro Fastigheter,Invid Jönköping AB,Jönköping,Mixed use,,,,,,-,"9,439",-,Muro Fastigheter acquired two modern office and warehouse properties in the A6 area of Jönköping under a long 15-year lease to the seller. The transaction strengthens Muro’s presence in a strategically important logistics and commercial location.,,,,,,,,,Muro Fastigheter buys two in Jönköping,
,Sweden,2025/12/11,"JM, Gavelhusen, Trähem, Bonava, OBOS",Uppsala Municipality,Uppsala,Residential,,,,,,-,-,-,"Uppsala Municipality completed several land sales to residential developers for apartment buildings, townhouses and small houses in multiple growth areas. The transactions support the municipality’s long-term housing supply goals.",,,,,,,,,Uppsala Municipality sells land to four investors,
,Sweden,2025/12/11,Areim,-,Linköping,Light industrial,,,,,,-,"20,000",-,Areim acquired a portfolio of nine warehouse and light industrial properties located close to the E4 in Linköping. The assets are largely leased and strengthen Areim’s presence in regional growth cities following its recent expansion to Norrköping.,,,,,,,,,"Areim grows in light industry – buys 20,000 sq m",
,Sweden,2025/12/11,Akademiska Hus,-,Gothenburg,Commercial,,,,,,245,"7,200","34,028","Akademiska Hus is investing in a full renovation of the Zoologen building to create modern laboratory and office space within the Medicinareberget life science cluster. The project aims to support collaboration between academia, healthcare and private life science companies.",,,,,,,,,AH invests SEK 245 million in life science cluster,
NEW,Sweden,2025/12/11,Bonava,-,Uppsala,Residential,,,,,,-,-,-,Bonava acquired a development site in Rosendal where it plans to build around 60 climate-positive wooden apartments. The project supports Uppsala’s ambition to create one of Sweden’s most sustainable and low-carbon urban districts.,,,,,,,,,Bonava acquires in southern Uppsala,
,Sweden,2025/12/10,Areim,-,Linköping,Light industrial,,,,,,-,"20,000",-,"94% leased to mixed tenants; strategic E4 location. Areim expands to Linköping; portfolio now ~90 assets, 380,000 m². NIY of 7%.",12000 ppsqm,,,,,,,,Areim växer inom lättindustri – köper 20.000 kvm,
,Sweden,2025/12/10,Tingsvalvet,"BR Group, AnEk & JCC Group",Örebro,Light industrial,,,,,,97,"5,500","17,636",Partially paid via seller notes and cash. Lejons Mäkleri has acted as advisor in the deal.,,,,,,,,,Tingsvalvet acquires Örebo for SEK 100 million,
,Sweden,2025/12/10,Resona & Hines (forward funding JV),-,Sollentuna ,Residential,,,,,,"1,000","16,784","59,581","Resona and Hines have signed an agreement on a forward funding deal becoming one of Sweden’s largest 2025 housing projects; Price estimated at ~1,000 MSEK. 309 units with estimated NOI of 51.7 MSEK.","yield beloow 5%, around 4.9%",,,,,,,,Hines in new large housing deal in the 08 area,
,Sweden,2025/12/10,Stendörren Fastigheter,-,Uppsala ,Light industrial,,,,,,255,"12,100","21,074",NOI ~16.5 MSEK; strengthens Stendörren’s Uppsala presence,,,,,,,,,Stendörren buys for a quarter of a billion in Uppsala,
,Sweden,2025/12/08,Arum Fastigheter,Mälardalen Bostäder AB,Nyköping & Eskilstuna,Residential,,,,,,-,"6,896",-,6 residential properties acquired in two transactions; strengthens Arum’s portfolio in Mälardalen.,,,,,,,,,Arum acquires in Nyköping and Eskilstuna,
,Sweden,2025/12/08,Urban Partners & Granitor JV ,Bonava,Höganäs & Sigtuna,Public Use,,,,,,-,"17,400",-,Two transactions: 132 units in Höganäs + 91 units in Sigtuna (total 223 units). Some properties under construction (2027 completion).,,,,,,,,,Urban Partners and Granitor in JV – buys 223 homes,
,Sweden,2025/12/05,Slottsholmen Hotell & Restaurang ,Frea Capital AB,Västervik,Hotel,,,,,,-,"6,217",-,Västervik Stadshotell (Best Western); 101 rooms; strengthens Slottsholmen’s regional presence.,,,,,,,,,Björn Ulvaeus buys city hotel,
,Sweden,2025/12/05,-,Atteviksgruppen,Älmhult,Commercial,,,,,,-,"2,800",-,"Property Motorn 1, 2,800 m², sold vacant. Includes workshop, dealership/store and offices.",,,,,,,,,Atteviksgruppen sells in Älmhult,
,Sweden,2025/12/05,Onoterat fastighetsbolag,Fondamentor,Umeå,Commercial,,,,,,-,"2,038",-,Two properties (Röbäcksdalen 1:8 & 1:9). Tenants: Umeå kommun & Toontrack. Fully renovated over 10+ years.,,,,,,,,,Fondamentor sells two in Umeå,
,Sweden,2025/12/05,Norrman & Son,Nordnäs Fastigheter,Västerås,Industrial,,,,,,-,"1,483",-,Strategic light-industrial asset (Götet 2). Fully let to three tenants.,,,,,,,,,Nordnäs has sold to Norrman & Son in Västerås,
,Sweden,2025-12-04,Hanssons Hus ,City of Stockholm,Stockholm,Building right,,,,,,-,-,-,"Acquisition of building right “Kista Äng kv. 7 (Hattarvik)”. 270 rental apartments + retail + garage. Will be certified Miljöbyggnad Silver. H2 building four major Kista Äng projects (total ~1,000 apts).",,,,,,,,,Hanssons Hus köper ytterligare i Kista äng,
,Sweden,2025-12-04,Centria,Parkstaden,Stockholm,Mixed-use,,,,,,-,750,-,"Cybele 12, Stora Nygatan 35 / Tyska Brinken 30. 750 m² office + retail. First Gamla stan acquisition for Centria. Cushman & Wakefield advisor. Building constructed 1636–1651.",,,,,,,,,Köper i Gamla stan,
,Sweden,2025-12-03,Active Fastighet,-,Vallentuna,Industrial,,,,,,-,"16,000",-,Two adjacent properties west of E18. Mixed tenants incl. national energy company and construction firm with long leases. Active sees development potential.,,,,,,,,,Active köper två fastigheter i Vallentuna,
,Sweden,2025-12-03,Tenzing Industrihus,Claes Johansson,Nynäshamn,Industrial,,,,,,-,"4,700",-,"Four assets: Elektrikern 1–2, Muraren 4–5. Fully let (Ahlsell, HLL, etc). 14,000 m² land area. Strategic port-adjacent location. Tenzing expanding in light-industrial/logistics.",,,,,,,,,Tenzing förvärvar fyra nära hamnen i Nynäshamn,
,Sweden,2025-12-03,Lansa Fastigheter,Kommanditbolaget Smörkallen,Göteborg,Residential,,,,,,-,-,-,Modern 2009-built 47-unit residential asset. Lansa to add solar PV + Miljöbyggnad iDrift certification. Cushman & Wakefield advisor. Strong growth area near Delsjön + public transit.,,,,,,,,,Lansa köper bostadsfastighet i Göteborg,
,Sweden,2025-12-02,Nyckeludden AB,Neobo,Södertälje,Mixed-use,,70% commercial,,,,75,"5,000","15,060","Divestment of Neobo’s only Södertälje asset. 25% economic vacancy. 3,550 m² commercial + some residential. Sold 6% below external valuation. Lowers Neobo vacancy by ~2 pp. Buyer: Nyckeludden (Ludvig Rosén & RoosGruppen).",,,,,,,,,Neobo säljer i Södertälje och sänker vakansgraden,
,Sweden,2025-12-02,Acer Bostad (OTPP + Gordion JV),Genova & Redito JV,Knivsta ,Residential,,,,,,872,"17,900","48,760","284 new rental units + commercial ground floor + 2 garages. 8,000 + 9,900 m². Strong sustainability profile. Third acquisition for Acer → portfolio now 898 units (SEK 2.5bn invested). Yield of 4.57%.",,,,,,,,,Acer Bostad förvärvar två nyproducerade för 875 mkr,
,Sweden,2025-12-02,Folksam / KPA Pension,CBRE Investment Management,Sigtuna & Lund,Residential,,,,,,-,"18,050",-,Acquisition of 381 rental units (212 Sigtuna + 169 Lund). Part of Folksam’s expanding housing strategy. CBRE IM selling from a separate structure. Strong sustainability profile and long-term institutional ownership.,,,,,,,,,Köper 380 bostäder av CBRE IM,
,Sweden,2025-12-01,ICA Fastigheter,EQT Real Estate,Trelleborg,Industrial,,,,,,-,"10,060",-,Includes 735 m² office. Built 2001. EQT continues to divest pieces of Svenska Verksamhetsfastigheter.,,,,,,,,,EQT säljer 10.000 kvm till Ica Fastigheter,
,Sweden,2025-12-01,Kinland,Mina Huus Sverige AB,Norrtälje ,Social infrastructure,,,,,,102,-,-,3 preschools + 1 LSS home. Avg WALT ~11 yrs. Strengthens Kinland’s Nordic social infrastructure portfolio to 376 assets. Newsec advisor.,,,,,,,,,Kinland förvärvar fyra i Norrtälje,
,Sweden,2025-12-01,Brookfield (JV with Broadgate),EQT Real Estate,"Stockholm, Uppsala, Mälardalen, Östergötland",Industrial,,,,,,"2,100","144,000","14,583","EQT sells 33 industrial/logistics assets from Svenska Verksamhetsfastigheter. Portfolio spans Stockholm region, Uppsala, Västerås, Örebro, Eskilstuna, Linköping & Norrköping. Broadgate continues as operating partner. Significant value-add executed under EQT ownership. Marks sale of ~half the SVF portfolio. Yield of 6.7%",,,,,,,,,EQT säljer blågul portfölj om 33 fastigheter,
,Sweden,2025-12-01,JSR Fastigheter,-,Västerhaninge ,Industrial,,,,,,-,"6,600",-,Strategic expansion of JSR in Stockholm region. Atracco establishes operations on site for circular auto dismantling & logistics. Part of JSR’s long-term industrial strategy.,,,,,,,,,JSR Fastigheter köper i Västerhaninge,
,Sweden,2025-11-28,SLP,DSV ,"Malmö, Helsingborg, Västerås, Borås",Logistics,,,,,,"1,111","66,000","16,833","Sale-leaseback of four terminals. Malmö asset largest at 25,000 m². Triple-net leases. NOI 78 MSEK. Total land 330,000 m² → high redevelopment potential. Part of SLP’s record 4.1 BSEK acquisition year.",,,,,,,,,"SLP köper för 1,1 mdr",
,Sweden,11/27/2025,Train Alliance ,Niam (Niam VII Sweden Industrial AB),Landskrona ,Industrial,,,,,,485,"71,000","6,831","Train Alliance acquires Nya Fastighets AB Varvsudden incl. 13 properties (71,000 m² buildings + 130,000 m² land). Annual NOI: 38 SEKm. Intends to connect harbour to national rail and integrate area into European TEN-T logistics corridor. Financing via property loan + 100 SEKm bridge loan; plans to bring in co-owners. ",,,,,,,,,Niam säljer i Skåne för 485 mkr,
,Sweden,11/27/2025,Lynea,Eksjöhus Bostad,Riksten & Bålsta,Residential,,,,,,341,"9,040","37,721",Lynea acquires two projects from Eksjöhus Bostad to jointly develop 80 new environmentally certified rental townhouses. High-standard two-storey homes with Nordic Ecolabel certification. Construction ongoing; occupancy expected Q2 2026 (Bålsta) and Q4 2026 (Riksten). Lynea now has 180 rental townhouses under production since its October 2025 launch.,,,,,,,,,New Lynea expands with 08 acquisition,
,Sweden,11/26/2025,Svenska Handelsfastigheter,Kilenkrysset,"Solberga, Strängnäs",Retail,,,,,,-,"27,590",-,"SHF acquires the entire Solberga retail centre comprising three fully let properties with 16 tenants including Willys, Jysk, Coop, Lidl, Dollarstore, Rusta and more. Includes new Jula building under construction. One of Mälardalen’s strongest retail nodes.",,,,,,,,,"SHF strikes and buys 27,000 sq m of retail space",
