Country,Timing,,,,,,Property Information,,,,,,,,Description
,Week nr.,Date received,Project name,Recieved by,Seller,Location,Use,"Leasable area, sqm","Base rent incl. index, CCY/sqm","NOI, CCY","WAULT, years","Economic occupancy rate, %","Deal value, MCCY",Yield,Comment 
Sweden,47,2024/11/21,Nordic Forum,Josefin Bergholtz,Revelop,Stockholm,Office / Hotel,"41,954","2,600","1,593",8.0,84%,-,-,"The Nordic Forum property is a modernized mixed-use asset featuring a diverse tenant mix, including a 25-year lease with anchor tenant Mogotel Hotel Group for a premium hotel. The asset has undergone significant investments, totaling SEK 491 million, enhancing its appeal with amenities such as a gym, restaurants, and co-working spaces. It boasts strong environmental credentials with a BREEAM In-Use rating of ""Very Good"
Sweden,48,2024/11/25,Lyftkranen 3,Carl Rosén,Svenska Skydd Holding AB,Eskilstuna,"Industrienhet, industrihotell","12,214",698,643,12,-,-,-,"Located in the Vilsta industrial area of Eskilstuna, the property benefits from proximity to major transport routes and a strategic position in one of Sweden's key logistics hubs"
Denmark,48,2024/11/26,Warehouse at Avedøre Holme,Anthony Romano,-,Hvidovre,Industrial,"3,650",621,580,-,100%,-,-,"Fully leased property located in Avedøre Holme, the property provides easy access to the E20 motorway (2 km) and is just 10 km from Copenhagen. The property features 16 strategically placed gates and is part of a cadastral plot divided into two commercial owner-occupied apartments"
Denmark,48,2024/11/26,Single Asset Baldershøj 19,Anthony Romano,-,Ishøj,Industrial,"2,019",-,-,-,-,20,-,"A light industrial property of approx. 2,000 m2 with the possibility of extending the warehouse with approx. 1,300 m2. "
Sweden,48,2024/11/26,Stenmjölet 3,David Hävermark,Libeno Invest AB,Stockholm,"Industrial, Retail, Office","2,675","1,207",1,2,100%,-,-,"Stenmjölet 3 is located in the Vinsta industrial area, a strategic location in western Stockholm poised for transformation into a mixed-use urban district. The property includes a diverse mix of tenants from retail, production, and office sectors. It offers significant potential for future development and rental income adjustments"
Sweden,48,2024/11/26,Triplet-net portfolio,David Hävermark,-,Various,Industrial,"13,248","1,213","1,975",11,100%,360,7.3%,"A completely newly constructed portfolio of environmentally certified buildings with triple-net leases. Approximately 90% of the portfolio is leased to Wiretronic, Ahlberg Cameras (Lifco), Hitachi, and Entrack (Lantmännen). All these companies are highly capitalized and strong tenants. For Wiretronic, where construction is currently underway, there is an option to expand the building by an additional 4,000–5,000 sqm as the company is growing rapidly. A lease agreement will be made for this expansion"
Sweden,48,2024/11/26,Besqab Syrénbersån,Niclas Jakobsen,-,Uppsala,Residential,"6,055","2,156",-,-,-,-,-,"Besqab Syrénbersån is located in Ultuna Trädgårdsstad, 5 km south of central Uppsala. The new development project consists of 137 well-designed, Swan-labelled apartments in various sizes and layouts."
Finland,48,2024/11/28,Autokeskuksentie 7,Hanna Rauhala,-,Pirkkala,Retail,"4,038",,87,-,100%,-,-,"Retail / LI property located in Linnakallio, Pirkkala. Leased to two tenants KX-Center Oy and R-Tech Suspension Oy"
Denmark,48,2024/11/28,Naverland 26,Anthony Romano,Teknisk Agentur,Glostrup,Industrial,"3,272",550,427,-,100%,25,5.7%,"The main tenant is also the seller. The property is owned by a separate company, enabling a tax-advantaged company transfer. Royal Unibrew and Logster pay below-market rents, providing potential for rent increases. Insulated cold storage areas (Teknisk Agentur’s warehouse and Logster’s space) could see higher rents with added heating. Some uncertainty remains due to the missing lease agreement for the new tenan"
Finland,49,2024/12/05,Thousand Lakes,Hanna Rauhala,Pandox AB,Various,Hotel,"30,394",-,83,-,50%,-,-,"Skyline Airport Hotel. Located near Helsinki Vantaa Airport, this hotel offers proximity to business parks and the planned Moomin Theme Park."
Finland,49,2024/12/05,Nisulankatu 78,Teemu Vaahteranoksa,Ovaro Kiinteistösijoitus Oy,Jyväskylä,Retail,"2,046",-,98,14,-,-,-,"This property is a centrally located, renovated historical commercial building in Jyväskylä, featuring well-known tenants like Kesko and Fitness24Seven."
Sweden,49,2024/12/06,"Barkarbystaden Kvarter 3 – ""Signaturkvarter""",Josefin Bergholtz,Reliwe & Derome (JV),Järfälla,Residential,"17,172",-,"3,057",-,-,"1,050",5.0%,"Barkarbystaden Kvarter 3, known as the ""Signaturkvarter,"" is located next to the new main square and metro station in Barkarbystaden, offering  356 rental apartments with an average unit size of 45 sqm.. The project, backed by Derome and Reliwe with comprehensive guarantees, is set to commence in Q1 2025 with completion targeted for 2027. It presents an investment opportunity with a projected yield of 5.0% and a forward funding rate of 6.0%."
Sweden,49,2024/12/06,Miso / Umami Park,Josefin Bergholtz,Reliwe & Derome (JV),Sundbyberg,Residential,"13,900",-,"2,976",-,-,845,4.9%,"Umami Park is located just 150 meters from the metro station, offering  308 rental apartments (average unit size 43 sqm) in three buildings. The area benefits from excellent transportation links and a variety of nearby services. The project is designed with a high sustainability profile, including energy class B and Environmental Building Silver certification. Completion expected in 2026"
Sweden,49,2024/12/06,Solhusen,Josefin Bergholtz,Sveafastigheter,Nacka,Residential,"7,803",-,"2,486",-,-,410,4.7%,"Located in a central area of Nacka (Orminge), the Solhusen project features 147 newly constructed rental apartments (average unit size 52 sqm). The development emphasizes environmental sustainability, adhering to the standards for the Miljöbyggnad Silver certification"
Sweden,49,2024/12/06,Gamla Landsvägen,Josefin Bergholtz,Sveafastigheter,Nacka,Residential,"4,324",-,"2,752",-,-,270,4.4%,"Located in a central area of Nacka (Ektorp), the project includes 87 apartments (average unit size 48 sqm), with 10 designed as group housing for individuals under the Social Services Act."
Sweden,49,2024/12/06,Resi project in Spånga,Josefin Bergholtz,Slättö,Spånga,Residential,"40,000",-,-,-,-,-,-,"The project involves developing 40,000 sqm of gross floor area (BTA) in Spånga. The goal is to start construction on the first building in 2025."
Sweden,50,2024/12/10,Grace,Filip Gustavsson,Wallenstam,Nacka,Residential,"9,800",-,"3,061",-,-,770,3.9%,"The project includes 169 newly completed apartments in central Nacka. The project boasts excellent access to public transport and amenities, enabling residents to reach central Stockholm in just 20 minutes as of today. A new metro station is planned to open in the area 2030. Premium product with high price expectations (and high negotiated rents)."
Finland,50,2024/12/10,"Turku, Satakunnantie 164",Mathias Vuorelma,,Turku,Retail,"7,558",-,106,-,-,9,9.4%,"Located in the western part of Turku near Länsikeskus, the property is a commercial building with a leasable area primarily for retail, including tenants such as Ahlsell Oy and Maalarienmestarien Oy."
Finland,51,2024/12/15,Emmauksenkuja 5,Teemu Vaahteranoksa,-,Turku,Other,"2,339",-,125,11,100%,-,-,"Padel hall located in Räntämäki, Turku. The building was constructed in 2022."
Finland,51,2024/12/15,Meijerinkatu 2-4,Teemu Vaahteranoksa,-,Vaasa,Other,"16,950",-,82,3,96%,-,-,"Mixed use property located in Vaasa. Main tenants are Euromaster, Hoplop, Posti and Grano. Four different buildings."
Sweden,51,2024/12/16,Project Sol,Carl Rosén,,Various,Logistics,"71,305",-,767,9,100%,-,-,"Project Sol portfolio comprises three modern logistics properties strategically located in Örebro, Borås, and Vansbro, Sweden. Notably, the property in Vansbro features energy-efficient enhancements, including solar panels."
Sweden,51,2024/12/18,Project Grace,Erik Widmark,Wallenstam,Nacka,Residential,"9,778",-,"3,068",-,-,770,3.9%,"The project includes 169 newly completed apartments in central Nacka. The project boasts excellent access to public transport and amenities, enabling residents to reach central Stockholm in just 20 minutes as of today. A new metro station is planned to open in the area 2030. Premium product with high price expectations (and high negotiated rents)."
Sweden,52,2024/12/23,Project Proximal,Carl Rosén,,Various,Light Industrial,"10,590",255,-,0,-,-,-,"Centrally located light industrial property with significant development potential. The property is strategically positioned near Uppsala city center and major transport routes. Rental income is MSEK 2.7, unspecified whether it is triple net. There is a mutual 3 months mutual notice period and with a waiver from security of tenure agreement in place. 10,590 sqm is currently leased to Riddermark Bil AB"
Finland,2,2025/01/09,Project ASP,Teemu Vaahteranoksa,Tekova Development Oy,Kuopio,Retail,"7,312",-,145,8,-,-,-,"Forward retail big box investment opportunity in Kuopio. Construction time 12 months, forward funding or forward purchase. Tenants will be Gigantti, Power and Jula."
Sweden,3,2025/01/13,Noatun,Filip Gustavsson,,Strömstad,Residential,"9,996","2,175","1,711",-,100%,-,-,"The project is located in the Myren area in central Strömstad and consists of two neighbourhoods, Linden and Häggen. It consists of 256 new apartments. The project was sold to Runar Vatne in 2021, however he was not able to take over when the project was finished in 2023. Ongoing discussions between parties, but likely a new sales process in 2025. The project is valued at 400 mSEK. "
Denmark,3,2025/01/13,Project Wired,Anthony Romano,Goldilocks Holding S.á.r.l,Various,Logistics,"17,037",522,492,1,90%,-,-,"Located in Ballerup, these properties offer excellent connectivity to Greater Copenhagen, making them ideal for logistics.The portfolio includes two well-established logistics properties with significant leasable areas."
Finland,3,2025/01/13,Takatie 6,Mathias Vuorelma,-,Kempele,Industrial,"23,618",-,25,-,72%,4,15.4%,"Three buildings, total lettable area 23,618 sqm. In total 28 tenants and leased area some 17,000 sqm. The main tenant Metalpower Oy (8,131 sqm) has fixed 10-year lease agreement"
Sweden,3,2025/01/15,Project Kite,Filip Gustavsson,Reliwe & Derome,Various,Residential,"9,886","3,072","2,812",-,-,-,-,"The property is located in Riksten, which offers good communication options with convenient access both by car and public transport. Rullbanan 2 consists of four buildings which houses 110 residential units. Inflygningen 1 contains one building (Building D) with 105 residential units. It is located right across the street from Rullbanan 2. "
Sweden,3,2025/01/16,Storskogen,Filip Gustavsson,Skanska Sverige AB,Various,Residential,"35,676",-,-,-,-,-,-,"Located in the new district of Storskogen, about 2 km south of central Enköping, this project offers significant residential development opportunities. They have building rights for 339 units with a GFA of 35,676 sqm.  "
Denmark,3,2025/01/16,Priorparken 839,Anthony Romano,Areim,Brøndby,Industrial,"15,056",423,571,4,79%,142,6.1%,"Located in a prime last-mile location in Greater Copenhagen, Priorparken 839 is a high-quality light industrial property with strong anchor tenants. The property offers multiple value-creation opportunities and benefits from excellent accessibility and infrastructure. "
Denmark,4,2025/01/20,Alle Byers Boligselskab,Anthony Romano,Alle Byers Boligselskab ApS,Various,Residential,"33,625","1,529","1,343",-,-,821,5.5%,"Residential portfolio comprising diverse projects across Denmark, showcasing development and operational potential."
Denmark,4,2025/01/20,Project Transit,Anthony Romano,PFA,Brøndby,Logistics,"25,400",-,-,10,-,-,-,"The project has an excellent location at the centre of Greater Copenhagen right next to the motorway grid. PostNord has been a tenant since 1997, and signed a 10-year contract in August 2024, with a termination notice of 12 months. "
Sweden,4,2025/01/21,The Rock Portfolio,David Hävermark,Svenska Verksamhetsfastigheter,Various,Industrial,"275,000","1,055",-,4,-,-,-,"A portfolio of 60 properties and 300 tenants, positioned in some of Sweden's largest and most dynamic regions: Stockholm, Gothenburg, Malmö and Mälardalen. "
Sweden,4,2025/01/21,Project Grace 2,Erik Widmark,Wallenstam,Nacka,Residential,"9,778","3,300","3,181",-,-,-,-,"Situated in Nacka, Stockholm's rapidly urbanizing suburb, the property offers excellent transport links and modern facilities, including energy-efficient systems and commercial spaces. The rent for the residential leases is fixed and cannot be increased until January 2027."
Sweden,4,2025/01/22,Project Crane,David Hävermark,K-Fastigheter,Various,Residential,"59,022","2,660","2,311",-,-,-,-,"The portfolio consists of eight properties with 975 residential units across the greater Gothenburg area. Out of the 975 apartments, 558 are completed and 417 are under construction. "
Denmark,4,2025/01/22,Project Emerald 2,Anthony Romano,FLSmidth & Co A/S,Copenhagen,Residential,"71,449",-,-,-,-,-,-,"Located in Valby, a prime district in Copenhagen, Project Emerald offers a rare development opportunity with excellent connectivity and a flexible development framework, allowing for significant residential and commercial development potential. 75% of the property are residential units while the remaining 25% are commercial units
"
Finland,4,2025/01/22,Project Dune 2,Hanna Rauhala,eQ Commercial Properties Fund,Hämeenlinna,Industrial,"21,700",-,94,10,100%,-,-,"Single-tenant asset with a double-net lease in Hämeenlinna. Was in a semi off-market in 2024, now the lease has been extended and the deal is in structured process."
Sweden,4,2025/01/23,Project Proximal 2,Carl Rosén,Prisma Properties AB,Uppsala,Industrial,"13,016",188,148,1,100%,-,-,"Located strategically in Uppsala's Kungsängen district, the property benefits from proximity to major transport routes and Uppsala Central train station, making it ideal for last-mile logistics and consumer-focused operations. The property also offers significant development potential with flexible zoning allowances."
Sweden,4,2025/01/24,Project Switch,Carl Rosén,Veho Bil Fastigheter,Västerås,Industrial,"3,102",-,"1,236",7,100%,-,-,"Located in Finnslätten, ca. 4 km from central Västerås. The area is known for its concentration of high-tech companies and innovative industries. The property is fully used by Veho today, and will be leased back to the seller simultaneously at the time of the transaction. "
Sweden,5,2025/01/27,Project Crane 2,David Hävermark,K-Fastigheter,Various,Residential,"59,021","2,512","2,311",-,100%,-,-,"	Located in the growing Greater Gothenburg area, Project Crane offers a high-quality residential portfolio with excellent public transport access and proximity to key amenities."
Sweden,5,2025/01/27,Briggen ,Filip Gustavsson,Arbetarefostadsfonden,Lindingö,Residential,"7,371","1,316",982,-,98%,290,2.5%,"Located with views over Lilla Värtan and Kungliga Djurgården, the property is close to public transportation and local amenities."
Finland,5,2025/01/27,Project Cyber,Mathias Vuorelma,n.a.,Vantaa,Retail,"9,647",-,174,-,100%,-,-,Car retail / light intustrial property located in Vantaa. Main tenant Tesla. Occupancy rate 100% and WAULT ca. 8.4 years.
Sweden,5,2025/01/29,Project Sol 2,Carl Rosén,RE NL Property AB,Various,Logistics,"71,305",714,767,9,100%,-,-,"The Project Sol portfolio comprises three strategically located logistics properties in Sweden, fully leased to strong tenants with long-term agreements. These modern facilities are situated in key logistics hubs, providing excellent connectivity and ensuring stable income streams through 100% occupancy and CPI-indexed rents.





"
Sweden,5,2025/01/29,Project Meridian,Josefin Bergholtz,SPGA Fagersta,Various,Residential,"9,258","1,137",791,-,97%,-,-,"The properties are centrally located in Fagersta and Norberg, offering easy access to local amenities and public transport.	"
Sweden,5,2025/01/29,Alelyckan,Niclas Jakobsen,Göteborg kommun,Gothenburg,Industrial,"2,700",-,-,-,-,10,-,"An undeveloped property in Alelyckan, Gothenburg with building rights for light industrial purposes. The 6,708 sqm plot allows for a max building height of 10m and 50% utilisation according to the zoning plan. "
Finland,5,2025/01/29,Project Granite,Hanna Rauhala,DEAS Property Fund Finland I Ky,Various,Light Industrial,"20,552",-,102,-,-,-,-,"Light industrial/warehouse/office portfolio with 4 properties. Three of the properties are located in Aviapolis, Vantaa, and one in Kerava. Freehold plots. 16 tenants."
Denmark,5,2025/01/29,Platinvej,Anthony Romano,,Kolding,Logistics,"24,800",-,-,15,100%,-,-,The property is a distribution centre fully let to VELUX A/S. The warehouse space has 7.5-14m ceiling height and complementary office space. It is leased with an NNN-lease with a 15-year non-terminability (incl. two years' notice). 
Denmark,5,2025/02/01,Rosewood,Anthony Romano,New World Development Company Ltd,Copenhagen,Hotel,-,-,-,-,68%,132,11.6%,This is a development project located in a prime area of Copenhagen. The Rosewood property will include 85-95 hotel keys and 5-10 branded residences. The development benefits from its proximity to major attractions and the financial district.
Sweden,6,2025/02/03,Åkersberga & Uppsala,David Hävermark,Belin & Söderlund,Various,Industrial,"5,451","1,214","1,049",-,-,-,-,"The portfolio consists of five industrial and office properties located in Åkersberga and Uppsala. The two properties in Åkersberga is situated in areas designated for future residential development by the municipality, including the Kanalstaden project, which aims to create 3,000 new homes. The portfolio is located near Stockholm, Uppsala and Arlanda as well as transport links. "
Sweden,6,2025/02/04,Hjälpmedelscentral,Albin Östmarck,Xenturi Fastigheter,Stockholm,Industrial,"1,639","2,131","1,941",9,100%,-,-,"The property is in Lunda industrial area, Stockholm. It is fully leased to Sodexo AB, which operates a medical equipment center under contract with Region Stockholm. The location offers good transport connections, including proximity to Förbifart Stockholm and public transit."
Denmark,6,2025/02/04,Project Transit 2,Anthony Romano,PFA,Brøndby,Logistics,"25,404",659,661,10,100%,-,-,"The property is a fully leased last-mile distribution center in Greater Copenhagen, serving as a regional hub for PostNord. It features a sorting facility with 40 loading docks and EV charging stations. The location provides connectivity to Copenhagen and southern Sweden via major motorways."
Sweden,6,2025/02/04,Hammarby Sjöstad & Hökarängen,Josefin Bergholtz,Primula Byggnads,Various,Residential,"33,553","2,552","2,021",-,-,"1,676",4.0%,"The portfolio consists of four properties in Stockholm, combining residential, office and commercial spaces. The properties are located in growing urban areas. The indicative price for Hökarängen is 45-50 kSEK/sqm and 50-55 kSEK/sqm for Hammarby Sjöstad"
Sweden,7,2025/02/10,Norslunda 1:26,Simon Klinga,Arlandastad Group AB & Bake My Day Holding AB,Sigtuna,Industrial,"9,689","2,466","2,421",15,100%,-,-,A built-to-suit food production facility leased to Bake My Day on a long-term 15-year contract. Located in Arlandastad area near Stockholm Arlanda Airport. The tenant has made significant investments in energy efficiency and food production standards to ensure sustainable operations.
Sweden,7,2025/02/10,Norslunda 1:7,Simon Klinga,Arlandastad Group AB,Sigtuna,Industrial,"4,746","1,812","1,473",3,92%,-,-,"A multi-let automotive service and sales facility in Arlandastad, featuring 11 tenants. The asset includes a mix of car services, sales, and parking, with further development potential of approximately 9,000 sqm."
Sweden,7,2025/02/10,Bankomat & OneMore,Simon Klinga,Arlandastad Group AB,Various,Logistics,"3,569","1,941","1,939",8,100%,-,-,"The portfolio consists of two newly developed properties in Arlandstad, Sigtuna, leased to Bankomat and OneMore AB. Bankomat has a 15-year contract. The property being leased to OneMore AB is under development with expected completion in August 2025."
Sweden,7,2025/02/11,Söderhall 5:10,David Hävermark,Ecocycled Sverige AB,Vallentuna,Industrial Development,"126,608",-,-,-,-,-,-,"Söderhall 5:10 is an industrial development site in Vallentuna, north of Stockholm, adjacent to the E18 highway."
Sweden,7,2025/02/12,Project Tygelsjö,Antonia Nyman,Tygelsjö Gård Förskola AB,Various,Public Use,"2,100","2,031","2,076",10,100%,-,-,"The Project Tygelsjö portfolio consists of two fully leased properties in Malmö, both rented by Malmö municipality. The portfolio includes a modern preschool built in 2019 as well as an LSS residential property that was renovated in 2014 and 2022 to meet specialised care requirements."
Sweden,7,2025/02/12,Project Sävedalens Torg,Antonia Nyman,L-Å Eveberg Fastighetsutveckling AB & Berith Margareta Eveberg,Various,Mixed,"2,503","1,907","1,758",2,100%,-,-,"Sävedalens Torg is a fully leased mixed-use property located in Sävedalen, on the border between Partille and Gothenburg. The property has strong anchor tenants, including Västra Götalandsregionen and Triumfglass. The property consists of retail, office and restaurant spaces, and a small warehouse. "
Denmark,7,2025/02/12,Greve Main 12 -2,Anthony Romano,,Greve,Light Industrial,"4,825",684,684,10,100%,46,7.2%,	A light industrial property located next to the E20 highway in Greve. The property is fully leased to Delicate A/S on a long-term contract. 
Denmark,7,2025/02/12,Project Fuglekvarteret,Anthony Romano,NPV,Copenhagen,Residential,"29,968","2,105","1,955",-,-,"1,297",4.5%,"Fuglekvarteret is a large-scale urban redevelopment in Copenhagen, transforming a former industrial site into a residential and mixed-use neighbourhood. The project will be completed in multiple phases, featuring a mix of residential units, retail spaces, social housing, and a dedicated parking facility."
Denmark,7,2025/02/12,Project Circle House,Anthony Romano,NPV,Greater Copenhagen,Residential,"52,000","2,105","1,913",-,-,"2,031",4.9%,"Circle House is a large-scale mixed-use development in Kokkedal, Fredensborg, featuring residential units, commercial spaces, and a parking facility. The project is being developed in two phases, with full completion expected in 2029."
Sweden,7,2025/02/13,Tumba Skog,Josefin Bergholtz,Magnolia,Botkyrka,Residential,"17,245","2,898","2,767",-,-,955,5.0%,"Tumba Skog is a large-scale residential development located in Botkyrka, Sweden, approximately 1.5 km from Tumba Centrum. Magnolia plans to buil around 348 new homes in this area, consisting of rental apartments and townhouses, with construction beginning in Q1 2026 and expected completion between 2028 and 2029."
Sweden,7,2025/02/14,Project Doppingen,Albin Östmarck,HG Byggen Entreprenad AB,Various,Light Industrial,"6,322",665,533,4,32%,-,-,"Project Doppingen is a portfolio of four light industrial properties in Norrköping, located near the E4 highway and Norrköping harbor. The properties have flexible zoning regulations for further expansion. "
Denmark,8,2025/02/17,Skinderskovvej 32,Anthony Romano,Papyro-Tex A/S,Various,Industrial,"12,923",650,430,-,-,-,-,"Skinderskovvej 32 is a vacant industrial property in Herlev, Greater Copenhagen. The site has some soil contamination due to past industrial use, and any remediation costs will be the responsibility of the buyer."
Sweden,8,2025/02/17,Project Park Lane,Josefin Bergholtz,JM,Järfälla,Residential,"11,530","3,266","2,844",-,-,-,-,"JM is developing 205 residential units in Söderdalen, to be completed in 2026-2027. The project consists of 11,293 sqm residential area and 237 sqm commercial space. "
Denmark,8,2025/02/18,"Tværhøjen, Greve",Anthony Romano,Casa Nord,Greve,Residential,"10,936","1,671",-,-,-,-,-,The project consists of 97 townhouses in Greve. Turnkey delivery is expected in August 2025.
