1,2,3,4,5,6,7,8,9,10,11,,,,,,,
,Finland,2025-11-27,Balder Finland,Rausanne Oy,Turku,Hotel,-,"8,000",-,196-room Original Sokos Hotel Kupittaa sold to Balder. Located in major development area; Tuloskiinteistöt advised.,,,,,,,
,Finland,2025-11-25,Stendörren,Terrieri Kiinteistöt,Helsinki,Logistics,12,"6,800","1,794",Third acquisition in Finland. Built 2021. Long-term lease; tenant covers major OpEx elements. Price also stated as SEK 134m.,,,,,,,
,Finland,2025-11-25,Balder Finland,VP Facilities; Famdell Oy Ab; Kvadraten Ab,Vaasa,Industrial,-,"11,000",-,"Balder acquires 100% of KOy T2 Partners Vaasa Fab. Buildings from 1980s–2000s, originally for Wärtsilä. Extensive upgrades in 2022 for Primo Finland. Strengthens Balder Finland’s production/industrial portfolio. EY advised seller; Waselius Attorneys advised buyer.",,,,,,,
,Finland,2025-11-20,Prisma Properties AB,Kesko,Various,Retail,59,-,-,Kesko sells 10 grocery properties to Prisma in a long-term sale & leaseback. Portfolio includes new & recent assets. Supports Kesko’s strategy of reinvesting in strategic stores and renovating nationwide network. Strengthens Prisma’s grocery-anchored portfolio and surpasses its Finland volume target.,,,,,,,
,Finland,2025-11-18,Varuboden på Åland,-,Åland,Land,-,"6,000",-,"Cooperative purchases land with 6,000 m² permitted BTA for future grocery store. Dalbo is a key growth area and strengthens Varuboden’s Åland service network.",,,,,,,
,Finland,2025-11-18,Osuuskauppa Keskimaa,Municipality of Laukaa,Leppävesi,Commercial,-,-,-,Keskimaa signs conditional deal to buy municipal commercial property for future grocery development. Existing library and clinic services relocating before takeover.,,,,,,,
,Finland,2025-11-18,Stendörren,Terrieri Kiinteistöt,Helsinki,Industrial,12,"6,800","1,713","Stendörren acquires modern 2021 logistics asset 13 km from Helsinki CBD. Fully let on 11-year lease with strong NOI and low operating risk, supporting long-term value creation. Estimated yield of 6.7%.",,,,,,,
,Finland,2025-11-14,Prisma Properties,Innovestor,"Lohja, Nurmijärvi, Järvenpää & Hämeenlinna",Retail,24,"15,000","1,567","Prisma acquires four fully leased retail properties totalling ~15,000 m² from Innovestor. Assets include solar panels and battery systems improving energy efficiency and providing stable long-term income.",,,,,,,
,Finland,2025-11-14,Prisma Properties,Tekova,Raseborg,Retail,8,"5,000","1,500","Prisma buys a 5,000 m² retail development in Raseborg from Tekova. Completion expected autumn 2026; fully pre-let to two discount retailers on 10-year leases and construction begins in 2025.",,,,,,,
,Finland,2025-11-13,Keva (with Mrec IM & HGR),Ylva (Univ. of Helsinki Student Union),Helsinki,Mixed use,-,-,-,"Keva acquires a landmark mixed-use portfolio including Old Student House, Kaivotalo, Citytalo and Grand Hansa. Mrec IM & HGR will manage and develop the culturally significant assets.",,,,,,,
,Finland,2025-11-13,Bonava Suomi & Suomen Asunnot ja Tontit I Ky,Taaleri Tonttirahasto Ky,"Helsinki (Lauttasaari, Vattuniemi)",Land,7,-,-,Taaleri’s land fund sells a full development plot in Lauttasaari for €6.5m to Bonava and Suomen Asunnot ja Tontit. The property has increased in value since its 2016 acquisition and supports the fund’s controlled exit strategy.,,,,,,,
,Finland,2025-11-11,Hanza AB,Lehto Group subsidiary,Oulainen,Industrial,5,"10,000",470,"Hanza acquires Lehto Group’s 10,000 m² factory property in Oulainen for €4.7m. Most of the purchase price is used to repay Lehto’s restructuring-linked bank debt; the asset expands Hanza’s adjacent manufacturing operations.",,,,,,,
,Finland,2025-11-11,Nordiqus,Hoivarakentajat Oy,"Kuopio, Haapavesi, Tampere",Public use,12,"3,600","3,403","Nordiqus acquires three newly built school and daycare properties totaling 3,600 m². Assets have WAULT 19.5 years and high sustainability features including log construction and A-energy ratings.",,,,,,,
,Finland,2025-11-04,CapMan Social Real Estate Fund,CapMan Real Estate (Kokoelmakeskus Ky),Vantaa,Public use,-,"35,000",-,"A CapMan-managed fund sells the 35,000 m² Finnish National Board of Antiquities’ Collection and Conservation Centre in Vantaa to another CapMan fund. The asset, now fully leased to Senate Properties, was converted from logistics to public use with A-class energy efficiency and EU taxonomy compliance.",,,,,,,
,Finland,2025-11-04,Kesko,Alma Property Partners & Mrec Investment Management,Vantaa,Commercial,-,-,-,"Kesko acquires a majority stake in the Tikkurila shopping center in Vantaa from Alma Property Partners and Mrec Investment Management. The existing mall will be demolished, and Kesko plans to develop a new K-Citymarket on the site towards the end of the decade as part of a broader city center redevelopment with SRV.",,,,,,,
,Finland,2025-10-30,Evernord Real Estate Fund VI & Mirlux Oy,Kojamo ,Helsinki ,Mixed-use,-,"6,650",-,"Evernord Group (Lithuania) entered Finland with Mannerheimintie 168B acquisition in Helsinki. Acquired majority with Mirlux Oy (minority). To be redeveloped into mixed-use complex with 56 apartments, retail & offices. Evernord manages €350M AUM across Baltics & Spain.",,,,,,,
,Finland,2025-10-28,Hemsö,Capman Nordic Real Estate III,Hämeenlinna,Education,-,"12,000",-,"Former development project; CapMan exited after 1.5 years due to strong returns. Fully leased to city under long-term lease to 2042. 4 buildings, 38,000 m² plot.",,,,,,,
,Finland,2025-10-28,Private buyer,The Deaconess Institute,Helsinki ,Commercial,-,"3,200",-,"GEM advised on the sale of Pulttitie 9–11 in Roihupelto, Helsinki, owned by The Deaconess Institute. Fully leased.",,,,,,,
,Finland,2025-10-28,Kielo,Tekova Länsi-Suomi,Kuopio,Retail,14,"8,306","1,686","Nyfosa’s Kielo acquired an 8,300 m² big-box retail property under development in Kuopio from Tekova. Fully leased, annual rent €1.5M, WAULT 8.1 yrs. Completion Sept 2026.",,,,,,,
,Finland,2025-10-23,Brookfield & MESH Group,ABRDN,Helsinki & Tampere,Residential,30,-,-,"Brookfield and MESH Group formed a joint platform and acquired a six-property residential portfolio from ABRDN, including Unity Living assets in Helsinki (Jätkäsaari) and Tampere (Pyynikki). Operated as studio hotels with furnished apartments, coworking, and gyms. This marks Brookfield’s expansion into Nordic residential alongside its existing Nordiqus venture.",,,,,,,
,Finland,2025-10-23,Isojoki Data Center Oy (to be established),Municipality of Isojoki,Isojoki,Land,10,"1,800,000",6,"Isojoki Municipality to sell 180 hectares of land to Isojoki Data Center Oy for €10M, forming a major data center cluster project. Includes an additional €0.5M donation to education. Project to be zoned and construction-ready by Sept 2026. Aims to establish sustainable, energy-efficient infrastructure and boost local employment.",,,,,,,
,Finland,2025-10-23,Turku Technology Properties Oy (jointly owned by Hemsö & City of Turku),Åbo Akademi Foundation,Turku,Education,43,"15,000","2,867","Turku Technology Properties acquired Arken campus (13 buildings, 15,000 m²) in Turku Science Park from Åbo Akademi Foundation for €43M. Fully leased to Åbo Akademi University for 20 years. Historic complex renovated 2001–2004.",,,,,,,
,Finland,2025-10-21,Onvest Oy,Varte Oy,Järvenpää & Helsinki Metropolitan Area,Office,-,"3,000",-,"Onvest Oy acquired a 3,000 m² office building in Järvenpää from Varte Oy, housing Varte’s equipment center. Simultaneously, the parties agreed to co-develop two business premises projects in the Helsinki Metropolitan Area, with construction starting H1 2026. ",,,,,,,
,Finland,2025-10-21,Prisma Properties,Hartela,Helsinki (Konala),Retail,6,"2,600","2,115","Prisma Properties acquired a newly built 2,600 m² Jula store in Konala, Helsinki from Hartela for €5.5M at a 7% yield. Ten-year lease with Jula, chain’s first store in the Helsinki area. Strengthens Prisma’s Finnish portfolio to three cash-generating assets.",,,,,,,
,Finland,2025-10-16,Cobbleyard Real Estate,Fund managed by BNP Paribas,Helsinki,Office,2,"5,500",364,"Cobbleyard Real Estate acquired Bolero Business Park’s C-building in Pitäjänmäki, Helsinki from a BNP Paribas–managed fund. The building (completed 2006) has 5,500 m² of leasable space and forms part of the three-building Bolero Business Park (built 2004–2007). ",,,,,,,
,Finland,2025-10-07,Prisma Properties,Investor Partners,Pietarsaari & Seinäjoki,Commercial,8.7,5500,"1,582","Prisma Properties acquired two income-generating retail properties from Investor Partners for EUR 8.7 million. The assets total approximately 5,500 m² and are located in Pietarsaari (tenant: Rusta) and Seinäjoki (tenants: Puuilo and Barot’s). Annual rent ~EUR 1.25 million. Transactions closed on 1 Oct 2025 and mark Prisma’s first cash-flowing Finnish acquisitions.",,,,,,,
,Finland,2025-10-07,Prisma Properties,Tekova,Iisalmi,Commercial,6.2,5000,"1,240","Prisma Properties entered into a forward purchase agreement with Tekova for a new 5,000 m² shopping center in Iisalmi valued at EUR 6.2 million. The project, fully pre-let to discount retailers, will begin construction in late 2025 and complete in Q2 2026. The property will be developed to modern energy standards and strong retail micro-location. Advisors: Hannes Snellman, Erottaja Attorneys, Granlund, Naava Partners, Navigator Partners.",,,,,,,
,Finland,2025-10-07,Public Property Invest (PPI),Hartela,"Kirkkonummi, Kaarina & Lieto",Public Use,28,8000,"3,500","Public Property Invest (PPI) acquired three care property projects from Hartela for EUR 28 million. Total area ~8,000 m² across Kirkkonummi, Kaarina, and Lieto. Tenants: Attendo (Kirkkonummi) and Kototiimi Oy (Kaarina & Lieto) on 15-year leases with ~EUR 1.85 million annual rent. Construction begins in 2025; completion expected between late 2026 and spring 2027. Projects meet EU taxonomy and energy class A standards.",,,,,,,
,Finland,2025-09-30,Hemsö Suomi Oy,Municipality of Hollola,Hollola,Public use,14,5200,"2,615","Hemsö acquires Hollola social welfare center (5,200 m², built 2021) from the municipality for €13.6m (~156 mSEK). Tenants include Päijät-Hämeen Welfare Association and Fimlab Oy. Deal approved by municipal council; closing early 2026.",,,,,,,
,Finland,2025-09-23,Two separate investors,Tekova,-,Commercial,19,-,-,Tekova signs agreements to sell two self-developed commercial projects to two investors for a combined ~€19.4m (~223 mSEK). Construction starts 2025; completion expected 2026. Transfers finalize upon project completion.,,,,,,,
,Finland,2025-09-23,Cityvarasto,-,"Riihimäki, Kerava",Industrial / Retail,-,"2,300",-,"Cityvarasto acquires two properties: (1) ~1,000 m² retail/association property in central Riihimäki, tenanted by K-market and artists, to be converted into self storage by 2026; (2) ~1,300 m² building in Kerava Jäspilä business area, to open as storage facility Sep 2025.",,,,,,,
,Finland,2025-09-15,Selena Kiinteistöt Ky (JV: Keva & Axiom Advisors Oy),Keva,"Helsinki metro, Tampere, Turku, Vaasa, Kuopio (18 properties)",Commercial,-,"  182,000 ",-,"Keva and Axiom Advisors form Selena Kiinteistöt Ky, transferring 18 commercial properties (~182,000 m²) from Keva into the new company. JV aims to boost occupancy, returns, and competitiveness; Axiom takes over management and development.",,,,,,,
,Finland,2025-09-09,Terrieri Kiinteistöt Ky,-,Tuusula,Logistics,-,"14,500",-,"Terrieri Kiinteistöt launches its second-largest investment ever: a 14,500 m² logistics project for Lehtipiste in Tuusula. Construction began June 2025, completion expected autumn 2026. Lehtipiste will centralize logistics operations from Vantaa, Jyväskylä, and Järvenpää.",,,,,,,
,Finland,2025-09-09,Fira Rakennus Oy & MTu-Consulting Oy,City of Helsinki,Helsinki,Mix use,20,"34,500",580,"City of Helsinki sells land in Herttoniemi to Fira and MTu-Consulting for €20m. Development will include a 10,500 m² arena and ~24,000 m² housing.",,,,,,,
,Finland,2025-08-28,Aktiivitilat,Sara-Steel Oy,Kerava,Industrial,-,"3,000",-,"Sale and lease-back of a production and warehouse property in Myllynummi, Kerava, built in 1992",,,,,,,
,Finland,2025-08-28,Nordika,S-Pankki Toimitilarahasto,"Vaasa, Jyväskylä, Oulu",Retail,-,"11,986",-,"Portfolio of three retail properties in Vaasa, Jyväskylä and Oulu. The properties are built between 2005-2015. The largest tenants are Tokmanni, Puuilo, Musti ja Mirri, and Liikku",,,,,,,
,Finland,2025-08-21,Evolv,-,HMA,Light industrial,-,-,-,"Slättö's Evolv has acquires 7 properties through 4 separate transactions. The properties are located in Helsinki, Espoo and Vantaa",,,,,,,
,Finland,2025-08-21,KY,HGR Property Partners,Espoo,Office,-,-,-,"Commercial property in Otaniemi, Espoo, sold to KY (Aalto University Business Student Foundation). HGR Property Partners acquired the property in April 2025",,,,,,,
,Finland,2025-08-21,Biltema Real Estate Sweden AB,"Tomas Brunberg, Gert Sviberg",Åland,Land,-,"7,200",-,"Biltema acquires land at Åland to develop a new Biltema, which will be c. 7,200 sqm upon completion in 2027",,,,,,,
,Finland,2025-08-14,CapMan,Mepa,Helsinki,Residential,-,-,-,"Capman has acquired a residential property in Katajanokka, Helsinki, completed in 2017. The asset will be managed under Capman’s newly established Leona concept, with planned energy investments aimed at achieving BREEAM In-Use Excellent certification and EPC A rating",,,,,,,
,Finland,2025-08-13,VVT Kiinteistösijoitus Oy,Deka Immobilien,Helsinki,Care,100,"18,250","5,479","Kalasatama Health and Wellbeing Centre in Helsinki sold for c. EUR 100M. The property was built in 2017, is fully let and located next to the shooping center Redi. City of Helsinki is the largest tenant. Deka Immobilien is selling, through its institutional property fund WestInvest ImmoValue",,,,,,,
,Finland,2025-08-12,"RTOY, HAMK",Lähitapiola Keskustakiinteistöt Ky,Riihimäki,Commercial,-,"8,200",-,"Lähitapiola is divesting Riihimäki Travel Centre, located in the centre of Riihimäki. The complex has c. 4,100 sqm of retail premises, and 4,100 sqm of office premises. The office premises are acquired by Riihimäki Tilat ja Kehitys Oy (RTOY), while Häme University of Applied Sciences (HAMK) has purchased the other part, which will be rebuilt into a new campus for HAMK",,,,,,,
,Finland,2025-08-11,Public Property Invest ASA (PPI),Mandatum,Helsinki,Care,15,"4,730","3,129","Care facility currently under construction in Haaga, Helsinki. The property is leased to a leading care provider on a 15-year lease agreement. At completion (Aug 2026), the gross rental income is estimated to EUR 1.3M",,,,,,,
,Finland,2025-08-07,Ethos Capital,Heino Group Oy,Vantaa,Industrial,-,"4,400",-,"A modern light industrial property located close to Helsinki Airport, in the Koivuhaka industrial area. The property was completed in 2013 and comprises 4,400 sqm of high specification light industrial and auxiliary office premises. The tenant base is diverse ",,,,,,,
,Finland,2025-08-04,eQ Yhteiskuntakiinteistöt,Varma,Espoo,Education,44,"14,200","3,092","The Finnish special investment fund eQ Yhteiskuntakiinteistöt (eQ Community Properties) has acquired a combined school and business park property located in Niittykumpu, Espoo, from Varma Mutual Pension Insurance Company for €43.9m.  In connection with the deal, Varma also became an investor in the eQ Yhteiskuntakiinteistöt fund. The size of Varma’s fund investment has not been disclosed by the parties. The property's main tenant is the City of Espoo. The other part of the property is known as Uusikumpu Business Park and is an office building, c. 3,000 sqm is currently vacant",,,,,,,
,Finland,2025-07-10,Balder,SRV,Oulu,Hotel,-,-,-,"SRV and Balder have signed an agreement concerning the sale and completion of the Torihotelli project in central Oulu (144 room Scandic Go Hotel). Construction will resume in autumn 2025, and the hotel is expected to open in summer 2026. Torihotelli was originally expected to be completed in 2019. After the bankruptcy of the original developer, Kiinteistö Oy Oulun Torihotelli, SRV—acting as both the contractor and main creditor of the bankruptcy estate—continued to manage and develop the site during the construction break",,,,,,,
,Finland,2025-07-08,Cibus,"Tokmanni, NREP",Various,Retail,61,"25,000","2,456","Cibus acquires in Finland through two separate transactions. Five properties are a sale and lease-back with Tokmanni, who signs 10-year lease agreements in connection with the transaction (15,700 sqm). The properties in the first transaction are in Eurajoki, Kuopio, Pälkäne, Sipoo and Sodankylä. The other transaction concerns a property leased to S-Group in Tuusula (9,300 sqm)",,,,,,,
,Finland,2025-07-07,-,Onvest Development Oy,Lappeenranta,Industrial,-,"1,400",-,"Onvest has sold a property in Lappeenranta. The property is fully leased to Onninen Oy and is situated in Lappeenranta's Leiri commercial area, next to Prisma. It is a well-defined property for technical trade, featuring spaceous yard areas",,,,,,,
,Finland,2025-07-04,Stendörren,Wulff Group,Espoo,Warehouse,6,"3,600","1,750",Stendörren acquire fully let warehouse property for SEK 70M. 10-year lease agreement with an estimated NOI of SEK 5.5M (7.9%),7.9%,,,,,,
,Finland,2025-07-04,Sato,OP-Rental Yield Fund,Various,Residential,n.a.,n.a.,-,"Balder's subsidiary Sato acquires 1,000 rental apartments in HMA, Turku, Tampere, Oulu and Jyväskylä. The units are spread over 16 residential properties, most of which are multi-family, but also some townhouses",,,,,,,
,Finland,2025-07-03,Hemsö,Salpausselän Koulutalo Oy,Lahti,Education,17,"8,700","1,954","Hemsö acquires Salpausselkä secondary school in Lahti, which accomodates 650 students and was built in 1958. In connection with the acquisition, a new 20-year lease agreement has been signed with the City of Lahti. The seller is a privately owned local company",,,,,,,
,Finland,2025-07-03,Urban Light,-,Vantaa,Logistics,-,"7,000",-,"Logistics asset in Piispankylä in Vantaa, in close proximity to the airport. The property comprises c. 7,000 sqm of high-quality logistics space. The asset is leased to two established logistics operators. Urban Light is a JV between Alea Partners and Alma",,,,,,,
,Finland,2025-07-02,Prisma Properties,-,Ylivieska,Retail,21,"11,000","1,864","Prisma makes its first acquisition in Finland, by acquiring a new retail property in Ylivieska (between Vaasa and Oulu). The acquisition is made through a forward-funding structure with Wasagroup. Rental value of c. EUR 1.5M. The retail centre will be focusing on groceries and low-price retail, long term leases have been signed with Kesko and Rusta. Completion in 2026",,,,,,,
,Finland,2025-07-02,Northern Horizon,Yrjö ja Hanna Kodit,Espoo,Care,-,"2,800",-,"Care home under development in Espoo, that upon completion will meet the Excellent requirements according to BREEAM and EPC A. Completion is scheduled for 2026. Once completed, the care home will be operated by Yrjö ja Hanna Hoivapalvelut under a 15-year lease agreeement. The care home will have 57 beds",,,,,,,
,Finland,2025-06-27,Eden Assunot Ky,JM,Helsinki,Residential,18,-,-,JM has signed an agreement to sell a rental property project with 71 apartments in Helsinki. The deal amounts to c. SEK 205M. Construction started in Q1 2025 and completion is expected in Q2 2026.,,,,,,,
,Finland,2025-06-25,Nordisk Renting,"Investors House Oyj, Ovaro Kiinteistösijoitus Oyj",Jyväskylä,Public use,60,"17,600","3,409","Nordisk Renting a healthcare property in the Kukkumäki hospital area in Jyväskyla. The property consists of c. 17,600 sqm in across three buildings. It is fully leased to the regional wellbeing services authority under a triple-net lease until the end of 2041. ",,,,,,,
,Finland,2025-06-25,Koy Amerin yritystalo,City of Akaa,Akaa,Public use,2,"1,100","1,818","The City of Akaa has sold a fire station property located in Hirsikangas to Turku-based real estate developer KOy Amerin yritystalo. Built in 2013, the 1,100 sqm property is fully leased on a long-term contract to the Pirkanmaa Wellbeing Services County.",,,,,,,
,Finland,2025-06-24,Evli Vuokratuotto,Staffia,Tuusula,Retail,-,-,-,"Evli Vuokratuotto has acquired a fully renovated retail property in Tuusula’s Hyrylä center from Staffia Oy. The property, previously vacant, was purchased by Staffia in December 2023 and redeveloped over 1.5 years. It now features Lidl and JYSK as anchor tenants, solar panels, and an energy storage system. ",,,,,,,
,Finland,2025-06-24,Ethos Capital,Heino Group Oy,Vantaa,"Light industrial, Office",-,"4,400",-,Ethos Capital acqured the W&T Avia property from Heino Group. The property is located adjacent to Tikkurilantie and in close proximity to both Tuusulanväylä and Ring III. It was completed in 2013.,,,,,,,
,Finland,2025-06-23,Kielo,UB Suomi Kiinteistöt,Vantaa,Retail,-,"5,000",-,"Kielo has acquired a big box property in Tammisto, Vantaa. The leasable area is over 5,000 sqm and the largest tenant is Intersport.",,,,,,,
,Finland,2025-06-23,-,Nyfosa,Reso,Mixed use,-,"2,000",-,"Nyfosa divested the property Tuotekatu 7 in Reso, northwest of Turku. At the time of the divestment, the property had a negative operating income. ",,,,,,,
,Finland,2025-06-17,Kymen Seudun Osuuskauppa,-,Kotka,Land,-,-,-,"KSO has purchased an emptly plot of land in the centre of Kotka. The plot has been vacant since the demolition of Pohjolatalo in 2021. It is zoned for residential, office and commercial construction. Implementation could take place in 2026-2027, meaning construction could begin next year. ",,,,,,,
